controller,world,seed,scale,radius,result,success,time_s,path_len_m,min_clear_m,stall_s
vanilla,4,0,1.0,0.34,success,1,26.85,9.25,0.115,0.0
vanilla,4,1,1.0,0.34,success,1,27.0,9.29,0.112,0.0
ray,4,0,1.0,0.34,success,1,40.5,11.4,0.027,5.1
ray,4,1,1.0,0.34,success,1,35.4,10.4,0.06,4.1
flow,4,0,1.0,0.34,success,1,28.95,9.32,0.022,2.3
flow,4,1,1.0,0.34,success,1,30.5,9.36,0.004,2.55
commit,4,0,1.0,0.34,collision,0,19.15,5.0,-0.012,2.5
commit,4,1,1.0,0.34,collision,0,18.4,5.03,-0.005,1.9
vanilla,13,0,1.0,0.34,success,1,26.9,8.59,0.077,0.5
vanilla,13,1,1.0,0.34,success,1,26.95,8.61,0.077,0.7
ray,13,0,1.0,0.34,success,1,26.25,8.67,0.052,0.4
ray,13,1,1.0,0.34,success,1,26.95,8.68,0.05,0.75
flow,13,0,1.0,0.34,success,1,26.1,8.57,0.028,1.4
flow,13,1,1.0,0.34,success,1,25.85,8.58,0.011,1.05
commit,13,0,1.0,0.34,success,1,26.6,8.55,0.077,0.6
commit,13,1,1.0,0.34,success,1,26.0,8.56,0.076,0.4
vanilla,23,0,1.0,0.34,success,1,24.7,8.65,0.11,0.0
vanilla,23,1,1.0,0.34,success,1,24.8,8.68,0.11,0.0
ray,23,0,1.0,0.34,success,1,29.15,9.47,0.01,1.4
ray,23,1,1.0,0.34,success,1,29.8,9.52,0.01,1.6
flow,23,0,1.0,0.34,success,1,27.15,8.79,0.035,1.3
flow,23,1,1.0,0.34,success,1,26.7,8.78,0.035,0.95
commit,23,0,1.0,0.34,success,1,24.95,8.64,0.1,0.05
commit,23,1,1.0,0.34,success,1,25.0,8.63,0.1,0.0
vanilla,48,0,1.0,0.34,collision,0,22.4,4.24,-0.02,7.3
vanilla,48,1,1.0,0.34,collision,0,20.85,4.27,-0.02,5.6
ray,48,0,1.0,0.34,timeout,0,60.0,11.14,0.066,19.3
ray,48,1,1.0,0.34,timeout,0,60.0,11.59,0.059,18.85
flow,48,0,1.0,0.34,success,1,29.8,8.96,0.035,2.7
flow,48,1,1.0,0.34,success,1,31.05,8.96,0.035,3.65
commit,48,0,1.0,0.34,success,1,26.5,8.8,0.1,0.5
commit,48,1,1.0,0.34,success,1,25.9,8.81,0.095,0.1
vanilla,49,0,1.0,0.34,success,1,25.7,8.92,0.112,0.0
vanilla,49,1,1.0,0.34,success,1,25.95,8.96,0.112,0.0
ray,49,0,1.0,0.34,success,1,29.25,9.39,0.1,1.15
ray,49,1,1.0,0.34,success,1,30.0,9.33,0.06,1.75
flow,49,0,1.0,0.34,success,1,31.85,9.0,0.035,4.1
flow,49,1,1.0,0.34,success,1,29.65,9.0,0.035,2.3
commit,49,0,1.0,0.34,success,1,25.85,8.88,0.085,0.2
commit,49,1,1.0,0.34,success,1,26.05,8.86,0.098,0.35
