controller,world,seed,scale,radius,result,success,time_s,path_len_m,min_clear_m,stall_s
flow,4,0,1.0,0.34,success,1,28.95,9.32,0.022,2.3
flow,4,1,1.0,0.34,success,1,30.5,9.36,0.004,2.55
local,4,0,1.0,0.34,success,1,30.0,9.34,0.035,2.5
local,4,1,1.0,0.34,success,1,29.15,9.37,0.022,1.8
flow,13,0,1.0,0.34,success,1,26.1,8.57,0.028,1.4
flow,13,1,1.0,0.34,success,1,25.85,8.58,0.011,1.05
local,13,0,1.0,0.34,success,1,26.05,8.58,0.035,1.25
local,13,1,1.0,0.34,success,1,25.55,8.56,0.035,0.85
flow,23,0,1.0,0.34,success,1,27.15,8.79,0.035,1.3
flow,23,1,1.0,0.34,success,1,26.7,8.78,0.035,0.95
local,23,0,1.0,0.34,success,1,27.65,8.84,0.038,1.95
local,23,1,1.0,0.34,success,1,28.25,8.84,0.035,1.65
flow,48,0,1.0,0.34,success,1,29.8,8.96,0.035,2.7
flow,48,1,1.0,0.34,success,1,31.05,8.96,0.035,3.65
local,48,0,1.0,0.34,success,1,30.65,9.13,0.035,3.05
local,48,1,1.0,0.34,success,1,30.2,9.13,0.035,2.85
flow,49,0,1.0,0.34,success,1,31.85,9.0,0.035,4.1
flow,49,1,1.0,0.34,success,1,29.65,9.0,0.035,2.3
local,49,0,1.0,0.34,success,1,30.55,9.09,0.035,3.1
local,49,1,1.0,0.34,success,1,29.4,9.06,0.035,1.9
