scenario,lane,config,world,seed,plan_min_clear_m,result,success,time_s,path_len_m,min_clear_m,stall_s,omega_sign_flips,mode_switches,branch_selection_fraction,unique_branch_ids,mean_ess,min_ess,mean_path_error_m,max_path_error_m
normal,astar,v0,4,0,0.01,success,1,25.65,9.64,0.098,0.1,161,0,0.0,0,nan,nan,0.1042,0.3381
normal,astar,path_only,4,0,0.01,success,1,20.55,9.28,0.098,0.05,19,0,0.0,0,45.742573587848185,1.002869065687954,0.0912,0.3185
normal,astar,path_branches,4,0,0.01,success,1,20.55,9.21,0.1,0.05,21,11,0.45498783454987834,12,17.560967981176116,1.0014621789953115,0.0788,0.2089
normal,astar,no_commit,4,0,0.01,success,1,20.6,9.25,0.098,0.05,21,53,0.3058252427184466,10,16.614328724032998,1.000646552661431,0.0888,0.2515
normal,astar,v0,4,1,0.01,success,1,24.95,9.58,0.098,0.0,158,0,0.0,0,nan,nan,0.111,0.3382
normal,astar,path_only,4,1,0.01,success,1,20.7,9.23,0.091,0.05,15,0,0.0,0,43.26475347769338,1.0041364890597435,0.0816,0.2795
normal,astar,path_branches,4,1,0.01,success,1,20.75,9.22,0.119,0.05,17,8,0.25542168674698795,10,17.75375160796224,1.0000004171101873,0.0733,0.1683
normal,astar,no_commit,4,1,0.01,success,1,21.0,9.28,0.098,0.05,22,58,0.2619047619047619,10,17.687273572771918,1.0007762166193728,0.0747,0.2674
normal,astar,v0,48,0,0.0216,success,1,23.75,8.97,0.11,0.2,159,0,0.0,0,nan,nan,0.0996,0.3136
normal,astar,path_only,48,0,0.0216,success,1,19.65,8.74,0.091,0.05,13,0,0.0,0,53.98316291938746,1.0069632799988866,0.0427,0.1618
normal,astar,path_branches,48,0,0.0216,success,1,19.85,8.81,0.11,0.05,10,7,0.28967254408060455,6,18.045454819305604,1.000015420159399,0.0547,0.1869
normal,astar,no_commit,48,0,0.0216,success,1,19.75,8.74,0.095,0.05,22,30,0.31139240506329113,8,19.19808739147293,1.0011098660319115,0.0508,0.1352
normal,astar,v0,48,1,0.0216,success,1,23.7,8.99,0.11,0.05,166,0,0.0,0,nan,nan,0.099,0.3306
normal,astar,path_only,48,1,0.0216,success,1,19.5,8.74,0.1,0.05,16,0,0.0,0,47.87820941893483,1.0109213500035128,0.0547,0.1485
normal,astar,path_branches,48,1,0.0216,success,1,19.9,8.79,0.11,0.1,14,5,0.2989949748743719,9,17.008234954936103,1.0005370160728546,0.0538,0.1533
normal,astar,no_commit,48,1,0.0216,success,1,20.2,8.89,0.1,0.1,16,46,0.2995049504950495,10,18.022103698637245,1.0005881897334814,0.0745,0.3013
normal,astar,v0,49,0,0.01,success,1,24.1,9.22,0.1,0.0,176,0,0.0,0,nan,nan,0.0934,0.4142
normal,astar,path_only,49,0,0.01,success,1,19.9,8.96,0.095,0.05,8,0,0.0,0,50.35167090676582,1.0082632352537648,0.0689,0.2222
normal,astar,path_branches,49,0,0.01,success,1,20.3,8.93,0.1,0.05,14,12,0.458128078817734,11,16.270983533533684,1.0002754263291378,0.0633,0.1722
normal,astar,no_commit,49,0,0.01,success,1,20.1,8.91,0.1,0.05,17,61,0.4154228855721393,11,16.553765684457336,1.0010396916535995,0.0678,0.2061
normal,astar,v0,49,1,0.01,success,1,24.6,9.3,0.107,0.0,180,0,0.0,0,nan,nan,0.1066,0.4044
normal,astar,path_only,49,1,0.01,success,1,20.2,8.99,0.112,0.05,10,0,0.0,0,50.92040614954287,1.0030767122357165,0.0709,0.2108
normal,astar,path_branches,49,1,0.01,success,1,20.2,8.92,0.095,0.05,19,7,0.1905940594059406,10,17.296530193297823,1.0003740527681528,0.0588,0.1735
normal,astar,no_commit,49,1,0.01,success,1,19.9,8.87,0.095,0.05,18,71,0.3793969849246231,10,17.35403709313339,1.0080029449588088,0.0558,0.1722
blocked,center,v0,4,0,-0.3359,success,1,25.55,9.68,0.1,0.0,169,0,0.0,0,nan,nan,0.3685,1.0064
blocked,center,path_only,4,0,-0.3359,success,1,21.6,9.71,0.083,0.05,12,0,0.0,0,81.80858454655885,1.0,0.4236,1.1343
blocked,center,path_branches,4,0,-0.3359,success,1,22.95,9.9,0.086,0.05,12,8,0.5119825708061002,14,35.13541740728175,1.0000000000000004,0.439,1.1356
blocked,center,no_commit,4,0,-0.3359,success,1,21.3,9.58,0.098,0.05,12,52,0.45305164319248825,14,31.05169890209291,1.0,0.3932,1.1095
blocked,center,v0,4,1,-0.3359,success,1,25.75,9.68,0.1,0.0,153,0,0.0,0,nan,nan,0.367,1.018
blocked,center,path_only,4,1,-0.3359,success,1,21.95,9.79,0.087,0.05,10,0,0.0,0,75.00569454242536,1.0005731811348182,0.4207,1.1082
blocked,center,path_branches,4,1,-0.3359,success,1,21.7,9.63,0.091,0.05,14,4,0.6543778801843319,16,32.84322003030146,1.0,0.4118,1.2067
blocked,center,no_commit,4,1,-0.3359,success,1,21.65,9.74,0.098,0.05,13,57,0.46882217090069284,13,29.886755220181698,1.0,0.4257,1.1926
blocked,center,v0,48,0,-0.3359,success,1,25.05,9.19,0.1,0.05,167,0,0.0,0,nan,nan,0.4677,1.1511
blocked,center,path_only,48,0,-0.3359,success,1,22.45,9.56,0.091,0.05,12,0,0.0,0,97.66436102907188,1.0,0.5224,1.3256
blocked,center,path_branches,48,0,-0.3359,success,1,21.35,9.19,0.11,0.05,12,5,0.6159250585480094,12,34.086547749955955,1.0,0.4452,1.122
blocked,center,no_commit,48,0,-0.3359,success,1,21.55,9.17,0.11,0.05,8,61,0.5220417633410673,14,33.653163700519485,1.0,0.4333,1.1091
blocked,center,v0,48,1,-0.3359,success,1,25.0,9.19,0.1,0.05,160,0,0.0,0,nan,nan,0.4678,1.1373
blocked,center,path_only,48,1,-0.3359,success,1,22.15,9.51,0.091,0.05,10,0,0.0,0,97.09588161169661,1.0,0.5176,1.2965
blocked,center,path_branches,48,1,-0.3359,success,1,20.6,9.21,0.1,0.05,13,5,0.6140776699029126,12,33.09996583131689,1.0039348367881349,0.4425,1.0369
blocked,center,no_commit,48,1,-0.3359,success,1,20.7,9.31,0.11,0.05,12,52,0.5217391304347826,12,33.689031091471186,1.0,0.4697,1.1872
blocked,center,v0,49,0,-0.3359,success,1,25.05,9.4,0.107,0.05,162,0,0.0,0,nan,nan,0.2598,0.7758
blocked,center,path_only,49,0,-0.3359,success,1,22.2,9.79,0.1,0.05,8,0,0.0,0,124.76700723975863,1.0000000378738125,0.314,1.085
blocked,center,path_branches,49,0,-0.3359,success,1,21.7,9.61,0.1,0.05,11,6,0.5645161290322581,13,40.40419612446519,1.0000000007014282,0.2716,0.9104
blocked,center,no_commit,49,0,-0.3359,success,1,21.9,9.67,0.095,0.05,14,88,0.4589041095890411,12,39.379337179392074,1.0000000017301436,0.284,0.9926
blocked,center,v0,49,1,-0.3359,success,1,24.95,9.37,0.11,0.0,178,0,0.0,0,nan,nan,0.2565,0.7701
blocked,center,path_only,49,1,-0.3359,success,1,22.4,9.82,0.107,0.05,10,0,0.0,0,120.39477867859532,1.0041399618241735,0.3069,1.067
blocked,center,path_branches,49,1,-0.3359,success,1,21.85,9.48,0.087,0.05,16,7,0.665903890160183,11,39.09975628276675,1.0000000038594234,0.2854,0.8858
