scenario,lane,config,world,seed,plan_min_clear_m,result,success,time_s,path_len_m,min_clear_m,stall_s,omega_sign_flips,mode_switches,branch_selection_fraction,unique_branch_ids,mean_ess,min_ess,mean_path_error_m,max_path_error_m
normal,astar,v0,4,0,0.01,success,1,25.65,9.64,0.098,0.1,161,0,0.0,0,nan,nan,0.1042,0.3381
normal,astar,path_only,4,0,0.01,success,1,20.55,9.28,0.098,0.05,19,0,0.0,0,45.742573587848185,1.002869065687954,0.0912,0.3185
normal,astar,path_branches,4,0,0.01,success,1,20.55,9.21,0.1,0.05,21,11,0.45498783454987834,12,17.560967981176116,1.0014621789953115,0.0788,0.2089
normal,astar,no_commit,4,0,0.01,success,1,20.6,9.25,0.098,0.05,21,53,0.3058252427184466,10,16.614328724032998,1.000646552661431,0.0888,0.2515
normal,astar,v0,4,1,0.01,success,1,24.95,9.58,0.098,0.0,158,0,0.0,0,nan,nan,0.111,0.3382
normal,astar,path_only,4,1,0.01,success,1,20.7,9.23,0.091,0.05,15,0,0.0,0,43.26475347769338,1.0041364890597435,0.0816,0.2795
normal,astar,path_branches,4,1,0.01,success,1,20.75,9.22,0.119,0.05,17,8,0.25542168674698795,10,17.75375160796224,1.0000004171101873,0.0733,0.1683
normal,astar,no_commit,4,1,0.01,success,1,21.0,9.28,0.098,0.05,22,58,0.2619047619047619,10,17.687273572771918,1.0007762166193728,0.0747,0.2674
normal,astar,v0,48,0,0.0216,success,1,23.75,8.97,0.11,0.2,159,0,0.0,0,nan,nan,0.0996,0.3136
normal,astar,path_only,48,0,0.0216,success,1,19.65,8.74,0.091,0.05,13,0,0.0,0,53.98316291938746,1.0069632799988866,0.0427,0.1618
normal,astar,path_branches,48,0,0.0216,success,1,19.85,8.81,0.11,0.05,10,7,0.28967254408060455,6,18.045454819305604,1.000015420159399,0.0547,0.1869
normal,astar,no_commit,48,0,0.0216,success,1,19.75,8.74,0.095,0.05,22,30,0.31139240506329113,8,19.19808739147293,1.0011098660319115,0.0508,0.1352
normal,astar,v0,48,1,0.0216,success,1,23.7,8.99,0.11,0.05,166,0,0.0,0,nan,nan,0.099,0.3306
normal,astar,path_only,48,1,0.0216,success,1,19.5,8.74,0.1,0.05,16,0,0.0,0,47.87820941893483,1.0109213500035128,0.0547,0.1485
normal,astar,path_branches,48,1,0.0216,success,1,19.9,8.79,0.11,0.1,14,5,0.2989949748743719,9,17.008234954936103,1.0005370160728546,0.0538,0.1533
normal,astar,no_commit,48,1,0.0216,success,1,20.2,8.89,0.1,0.1,16,46,0.2995049504950495,10,18.022103698637245,1.0005881897334814,0.0745,0.3013
normal,astar,v0,49,0,0.01,success,1,24.1,9.22,0.1,0.0,176,0,0.0,0,nan,nan,0.0934,0.4142
normal,astar,path_only,49,0,0.01,success,1,19.9,8.96,0.095,0.05,8,0,0.0,0,50.35167090676582,1.0082632352537648,0.0689,0.2222
normal,astar,path_branches,49,0,0.01,success,1,20.3,8.93,0.1,0.05,14,12,0.458128078817734,11,16.270983533533684,1.0002754263291378,0.0633,0.1722
normal,astar,no_commit,49,0,0.01,success,1,20.1,8.91,0.1,0.05,17,61,0.4154228855721393,11,16.553765684457336,1.0010396916535995,0.0678,0.2061
normal,astar,v0,49,1,0.01,success,1,24.6,9.3,0.107,0.0,180,0,0.0,0,nan,nan,0.1066,0.4044
normal,astar,path_only,49,1,0.01,success,1,20.2,8.99,0.112,0.05,10,0,0.0,0,50.92040614954287,1.0030767122357165,0.0709,0.2108
normal,astar,path_branches,49,1,0.01,success,1,20.2,8.92,0.095,0.05,19,7,0.1905940594059406,10,17.296530193297823,1.0003740527681528,0.0588,0.1735
normal,astar,no_commit,49,1,0.01,success,1,19.9,8.87,0.095,0.05,18,71,0.3793969849246231,10,17.35403709313339,1.0080029449588088,0.0558,0.1722
blocked,center,v0,4,0,-0.3359,success,1,25.35,9.68,0.098,0.1,165,0,0.0,0,nan,nan,0.3613,0.9951
blocked,center,path_only,4,0,-0.3359,success,1,21.3,9.58,0.077,0.05,14,0,0.0,0,55.91918013924787,1.0004131090959612,0.3792,1.0283
blocked,center,path_branches,4,0,-0.3359,success,1,21.1,9.47,0.091,0.05,16,6,0.5616113744075829,14,22.52105850460245,1.0000086442850815,0.3463,0.9371
blocked,center,no_commit,4,0,-0.3359,success,1,20.75,9.41,0.1,0.05,17,67,0.4819277108433735,13,22.438929936817033,1.000000002602813,0.3477,0.9765
blocked,center,v0,4,1,-0.3359,success,1,25.55,9.71,0.098,0.0,168,0,0.0,0,nan,nan,0.3623,0.9901
blocked,center,path_only,4,1,-0.3359,success,1,21.4,9.6,0.085,0.05,10,0,0.0,0,50.414057728245524,1.00044602919282,0.3949,1.1421
blocked,center,path_branches,4,1,-0.3359,success,1,21.4,9.54,0.085,0.05,19,9,0.5677570093457944,16,23.011762880320063,1.0006302792932076,0.3643,1.1241
blocked,center,no_commit,4,1,-0.3359,success,1,21.95,9.7,0.091,0.05,14,84,0.4396355353075171,15,21.064665679658653,1.0000002746127965,0.3785,1.0145
blocked,center,v0,48,0,-0.3359,success,1,24.9,9.16,0.095,0.15,180,0,0.0,0,nan,nan,0.4404,1.1142
blocked,center,path_only,48,0,-0.3359,timeout,0,45.0,5.99,0.235,19.95,12,0,0.0,0,423.5782939924038,4.000102628946916,0.1268,0.3983
blocked,center,path_branches,48,0,-0.3359,timeout,0,45.0,5.95,0.12,18.65,8,10,0.7033333333333334,13,120.05042667954046,1.0410226102392224,0.113,0.3311
blocked,center,no_commit,48,0,-0.3359,timeout,0,45.0,6.11,0.1,16.5,7,132,0.6377777777777778,16,127.81571585783573,1.0406206018453807,0.1235,0.4016
blocked,center,v0,48,1,-0.3359,success,1,24.85,9.18,0.1,0.05,177,0,0.0,0,nan,nan,0.4413,1.1325
blocked,center,path_only,48,1,-0.3359,timeout,0,45.0,6.34,0.216,22.55,8,0,0.0,0,449.5648316973197,1.7271645606919839,0.1322,0.4754
blocked,center,path_branches,48,1,-0.3359,timeout,0,45.0,5.84,0.117,21.45,13,8,0.8322222222222222,13,111.99600331148001,1.0218306782826283,0.1553,0.4279
blocked,center,no_commit,48,1,-0.3359,timeout,0,45.0,6.09,0.1,16.2,9,138,0.7011111111111111,16,125.07681982830437,1.0646160760100774,0.1176,0.4195
blocked,center,v0,49,0,-0.3359,success,1,24.95,9.37,0.11,0.05,185,0,0.0,0,nan,nan,0.2411,0.7394
blocked,center,path_only,49,0,-0.3359,success,1,20.75,9.29,0.085,0.05,8,0,0.0,0,55.56876609972246,1.0018516015100185,0.231,0.7805
blocked,center,path_branches,49,0,-0.3359,success,1,20.6,9.23,0.087,0.05,12,9,0.6650485436893204,12,20.220181233414042,1.0019953708186173,0.2137,0.6361
blocked,center,no_commit,49,0,-0.3359,success,1,20.7,9.29,0.086,0.05,12,88,0.43478260869565216,11,19.81071926171519,1.000016503057527,0.2213,0.6731
blocked,center,v0,49,1,-0.3359,success,1,24.95,9.34,0.1,0.05,169,0,0.0,0,nan,nan,0.2318,0.7604
blocked,center,path_only,49,1,-0.3359,success,1,21.6,9.71,0.091,0.05,8,0,0.0,0,49.726902648301795,1.004821192410086,0.2686,0.8875
blocked,center,path_branches,49,1,-0.3359,success,1,20.8,9.28,0.1,0.05,16,7,0.6274038461538461,14,20.1902758107811,1.000000389136708,0.2307,0.7255
