scenario,config,seed,result,success,peer_collision,static_collision,time_s,path_length_m,minimum_peer_clearance_m,minimum_static_clearance_m,stall_time_s,final_goal_distance_m,assist_fraction,branch_fraction,mode_switches,repair_count,repair_failures,wall_time_s,controller_hz,controller_mean_ms,controller_p95_ms,controller_max_ms
blocked_split,flow_only,0,peer_collision,0,1,0,34.0,2.634,-0.0007,0.1,25.15,4.0563,0.9852941176470589,0.0,0,0,0,234.17,2.904,343.705,495.696,622.115
blocked_split,amoeba,0,success,1,0,0,29.25,7.5952,0.7257,0.1581,5.4,0.3443,0.9829059829059829,0.4905982905982906,2,0,0,192.109,3.045,327.782,537.347,640.04
blocked_split,flow_only,1,success,1,0,0,37.6,8.8845,0.2167,0.025,11.15,0.3377,0.9867021276595744,0.0,0,0,0,308.966,2.434,410.136,511.528,827.57
blocked_split,amoeba,1,success,1,0,0,28.75,7.5818,0.7019,0.1346,3.6,0.3473,0.9826086956521739,0.4956521739130435,2,0,0,254.506,2.259,441.849,558.589,647.024
blocked_split,flow_only,2,static_collision,0,0,1,22.4,2.4343,0.1124,-0.0,16.3,4.2463,0.9776785714285714,0.0,0,0,0,128.467,3.487,286.206,471.48,570.363
blocked_split,amoeba,2,success,1,0,0,27.85,7.53,0.7301,0.1414,2.4,0.334,0.9820466786355476,0.47755834829443444,2,0,0,236.827,2.352,424.433,555.127,641.005
blocked_split,flow_only,3,success,1,0,0,36.15,8.9185,0.2299,0.0559,10.5,0.3492,0.9861687413554634,0.0,0,0,0,286.493,2.524,395.506,509.117,762.249
blocked_split,amoeba,3,success,1,0,0,30.35,7.5808,0.7067,0.1346,4.6,0.3381,0.9835255354200988,0.514003294892916,2,0,0,189.355,3.206,311.373,526.378,633.928
blocked_split,flow_only,4,static_collision,0,0,1,22.6,2.4339,0.116,-0.0,15.4,4.2465,0.9778761061946902,0.0,0,0,0,166.797,2.71,368.323,502.509,544.942
blocked_split,amoeba,4,success,1,0,0,29.45,7.7402,0.6872,0.1346,2.25,0.3483,0.9830220713073005,0.5195246179966044,4,0,0,267.796,2.199,453.907,567.935,594.414
blocked_split,flow_only,5,timeout,0,0,0,40.0,3.7947,0.0702,0.025,25.35,4.8654,0.9875,0.0,0,0,0,247.414,3.233,308.684,405.773,440.32
blocked_split,amoeba,5,timeout,0,0,0,40.0,3.7806,0.7045,0.2016,18.1,4.8648,0.9875,0.36,19,0,0,352.745,2.268,440.198,562.329,623.926
blocked_split,flow_only,6,timeout,0,0,0,40.0,3.8931,0.1063,0.0,24.7,4.8819,0.9875,0.0,0,0,0,266.109,3.006,332.028,464.931,518.191
blocked_split,amoeba,6,success,1,0,0,30.85,7.7506,0.6365,0.1031,5.75,0.3404,0.9837925445705025,0.4376012965964344,6,0,0,281.456,2.192,455.41,561.029,751.021
blocked_split,flow_only,7,timeout,0,0,0,40.0,4.0001,0.1229,0.025,24.35,4.7621,0.9875,0.0,0,0,0,230.905,3.465,288.063,389.242,471.733
blocked_split,amoeba,7,success,1,0,0,28.05,7.5733,0.7099,0.15,2.6,0.3487,0.982174688057041,0.483065953654189,2,0,0,189.535,2.96,337.222,518.427,583.629
blocked_split,flow_only,8,timeout,0,0,0,40.0,3.9943,0.1176,0.0,25.95,4.8142,0.9875,0.0,0,0,0,346.907,2.306,432.88,501.362,528.689
blocked_split,amoeba,8,success,1,0,0,27.75,7.5447,0.7117,0.1275,2.8,0.3359,0.9819819819819819,0.4702702702702703,2,0,0,205.901,2.695,370.342,486.034,538.051
blocked_split,flow_only,9,timeout,0,0,0,40.0,4.4036,0.2237,0.05,20.7,4.8669,0.9875,0.0,0,0,0,198.857,4.023,248.083,387.215,535.662
blocked_split,amoeba,9,success,1,0,0,28.25,7.6009,0.711,0.1414,2.7,0.3484,0.9823008849557522,0.5079646017699115,4,0,0,143.157,3.947,252.906,367.856,524.105
