scenario,config,seed,result,success,peer_collision,static_collision,time_s,path_length_m,minimum_peer_clearance_m,minimum_static_clearance_m,stall_time_s,final_goal_distance_m,assist_fraction,branch_fraction,mode_switches,repair_count,repair_failures,wall_time_s,controller_hz,controller_mean_ms,controller_p95_ms,controller_max_ms
blocked_split,flow_only,5,timeout,0,0,0,40.0,3.7947,0.0702,0.025,25.35,4.8654,0.9875,0.0,0,0,0,113.007,7.079,141.015,158.894,277.787
blocked_split,amoeba,5,timeout,0,0,0,40.0,3.7806,0.7045,0.2016,18.1,4.8648,0.9875,0.36,19,0,0,122.603,6.525,153.009,172.105,239.437
blocked_split,flow_only,6,timeout,0,0,0,40.0,3.8931,0.1063,0.0,24.7,4.8819,0.9875,0.0,0,0,0,110.185,7.261,137.496,151.512,191.416
blocked_split,amoeba,6,success,1,0,0,30.85,7.7506,0.6365,0.1031,5.75,0.3404,0.9837925445705025,0.4376012965964344,6,0,0,90.545,6.814,146.515,162.821,194.097
blocked_split,flow_only,7,timeout,0,0,0,40.0,4.0001,0.1229,0.025,24.35,4.7621,0.9875,0.0,0,0,0,108.658,7.363,135.59,148.337,163.022
blocked_split,amoeba,7,success,1,0,0,28.05,7.5733,0.7099,0.15,2.6,0.3487,0.982174688057041,0.483065953654189,2,0,0,82.685,6.785,147.149,164.198,185.182
blocked_split,flow_only,8,timeout,0,0,0,40.0,3.9943,0.1176,0.0,25.95,4.8142,0.9875,0.0,0,0,0,111.428,7.18,139.048,154.962,176.983
blocked_split,amoeba,8,success,1,0,0,27.75,7.5447,0.7117,0.1275,2.8,0.3359,0.9819819819819819,0.4702702702702703,2,0,0,82.571,6.722,148.539,168.436,187.345
blocked_split,flow_only,9,timeout,0,0,0,40.0,4.4036,0.2237,0.05,20.7,4.8669,0.9875,0.0,0,0,0,115.846,6.906,144.557,161.593,195.093
blocked_split,amoeba,9,success,1,0,0,28.25,7.6009,0.711,0.1414,2.7,0.3484,0.9823008849557522,0.5079646017699115,4,0,0,88.377,6.393,156.165,178.578,208.18
