scenario,config,seed,result,success,peer_collision,static_collision,time_s,path_length_m,minimum_peer_clearance_m,minimum_static_clearance_m,stall_time_s,final_goal_distance_m,assist_fraction,branch_fraction,mode_switches,repair_count,repair_failures,wall_time_s,controller_hz,controller_mean_ms,controller_p95_ms,controller_max_ms
blocked_split,vanilla,0,static_collision,0,0,1,13.0,1.8461,0.7705,-0.0,5.15,4.5556,0.0,0.0,0,0,0,16.137,16.112,61.81,65.991,87.305
blocked_split,path,0,peer_collision,0,1,0,16.7,2.6062,-0.0009,0.1,6.05,4.0575,0.0,0.0,0,0,0,40.629,8.221,121.381,126.321,141.15
blocked_split,amoeba,0,success,1,0,0,29.25,7.5952,0.7257,0.1581,5.4,0.3443,0.9829059829059829,0.4905982905982906,2,0,0,87.542,6.683,149.407,168.366,195.799
blocked_split,vanilla,1,static_collision,0,0,1,12.2,1.863,0.7622,-0.0,4.3,4.5386,0.0,0.0,0,0,0,15.122,16.135,61.72,65.501,69.398
blocked_split,path,1,peer_collision,0,1,0,17.5,2.6192,-0.0023,0.125,6.35,4.0578,0.0,0.0,0,0,0,42.039,8.326,119.85,124.937,151.656
blocked_split,amoeba,1,success,1,0,0,28.75,7.5818,0.7019,0.1346,3.6,0.3473,0.9826086956521739,0.4956521739130435,2,0,0,85.241,6.746,148.013,163.886,181.448
blocked_split,vanilla,2,static_collision,0,0,1,11.9,1.8438,0.7803,-0.0,3.9,4.5588,0.0,0.0,0,0,0,14.764,16.12,61.78,66.536,68.4
blocked_split,path,2,peer_collision,0,1,0,20.15,2.6368,-0.0082,0.1,8.6,4.0292,0.0,0.0,0,0,0,48.505,8.308,120.1,125.598,136.077
blocked_split,amoeba,2,success,1,0,0,27.85,7.53,0.7301,0.1414,2.4,0.334,0.9820466786355476,0.47755834829443444,2,0,0,82.782,6.729,148.385,165.057,184.838
blocked_split,vanilla,3,static_collision,0,0,1,12.25,1.865,0.7304,-0.0,4.05,4.5416,0.0,0.0,0,0,0,15.198,16.121,61.773,65.549,71.739
blocked_split,path,3,peer_collision,0,1,0,17.65,2.6308,-0.0058,0.1,6.9,4.0386,0.0,0.0,0,0,0,42.444,8.317,119.977,124.922,131.031
blocked_split,amoeba,3,success,1,0,0,30.35,7.5808,0.7067,0.1346,4.6,0.3381,0.9835255354200988,0.514003294892916,2,0,0,90.109,6.736,148.215,163.306,181.437
blocked_split,vanilla,4,static_collision,0,0,1,14.8,1.8724,0.791,-0.0,6.65,4.5361,0.0,0.0,0,0,0,18.449,16.044,62.068,65.415,70.164
blocked_split,path,4,peer_collision,0,1,0,16.6,2.6216,-0.0017,0.125,5.8,4.0625,0.0,0.0,0,0,0,39.854,8.33,119.784,125.123,128.498
blocked_split,amoeba,4,success,1,0,0,29.45,7.7402,0.6872,0.1346,2.25,0.3483,0.9830220713073005,0.5195246179966044,4,0,0,83.421,7.061,141.403,160.171,174.796
