scenario,config,world,seed,samples,horizon,robot_model,result,success,time_s,path_len_m,min_clear_m,stall_s,controller_mean_ms,controller_p95_ms,controller_max_ms,goal_progress_m,final_goal_distance_m,mean_path_error_m,max_path_error_m,wall_time_s,controller_hz,mode_switches,omega_sign_flips,branch_selection_fraction,fallback_selection_fraction,ancillary_available_fraction,mean_active_ancillary_modes,assist_fraction,mean_ess,min_ess
static,vanilla,7,0,1024,56,slip,collision,0,30.35,7.98,-0.0,5.2,34.216,39.428,55.113,7.8918,1.1082,0.0812,0.2339,20.933,28.998,0,0,0.0,1.0,0.0,0.0,0.0,nan,nan
static,path_mppi,7,0,1024,56,slip,collision,0,27.95,7.92,-0.04,2.95,113.393,125.466,179.049,7.8562,1.1438,0.0411,0.1286,63.546,8.797,0,0,0.0,1.0,0.0,0.0,0.0,nan,nan
static,path_biased,7,0,1024,56,slip,collision,0,32.65,7.91,-0.019,13.0,138.567,168.907,188.591,7.8549,1.1451,0.0471,0.1643,90.642,7.204,0,103,0.0,1.0,0.0,0.0,0.38131699846860645,113.63680774198565,1.0
static,amoeba,7,0,1024,56,slip,success,1,31.35,9.47,0.1,7.1,147.965,197.265,226.768,8.5002,0.4998,0.2595,1.0361,92.924,6.747,0,41,0.0,1.0,0.45454545454545453,0.9633173843700159,0.16905901116427433,273.7852751220819,1.0000000005046976
static,vanilla,42,0,1024,56,slip,success,1,24.15,8.53,0.7,0.0,30.315,35.402,68.646,8.508,0.492,0.0623,0.1273,14.77,32.702,0,0,0.0,1.0,0.0,0.0,0.0,nan,nan
static,path_mppi,42,0,1024,56,slip,success,1,24.35,8.51,0.575,0.0,104.713,108.377,120.586,8.509,0.491,0.025,0.0528,51.132,9.524,0,0,0.0,1.0,0.0,0.0,0.0,nan,nan
static,path_biased,42,0,1024,56,slip,success,1,19.1,8.51,0.575,0.05,128.298,163.6,169.195,8.5069,0.4931,0.0131,0.0258,49.097,7.781,0,58,0.0,1.0,0.0,0.0,0.0,331.3950453310635,91.88010412772933
static,amoeba,42,0,1024,56,slip,success,1,19.1,8.51,0.575,0.05,142.885,190.884,204.773,8.5069,0.4931,0.0131,0.0258,54.67,6.987,0,58,0.0,1.0,0.7460732984293194,1.3089005235602094,0.0,331.3950453310635,91.88010412772933
static,vanilla,48,0,1024,56,slip,collision,0,18.7,3.74,-0.019,5.35,29.809,30.92,42.697,3.6884,5.3116,0.5505,0.8043,11.249,33.248,0,0,0.0,1.0,0.0,0.0,0.0,nan,nan
static,path_mppi,48,0,1024,56,slip,success,1,27.15,8.74,0.115,0.45,110.693,114.087,144.365,8.505,0.495,0.0466,0.1426,60.272,9.009,0,0,0.0,1.0,0.0,0.0,0.0,nan,nan
static,path_biased,48,0,1024,56,slip,success,1,21.25,8.73,0.115,0.1,134.529,166.098,184.332,8.5128,0.4872,0.0423,0.1252,57.279,7.42,0,22,0.0,1.0,0.0,0.0,0.0,149.32792719016686,1.3182924599687331
static,amoeba,48,0,1024,56,slip,success,1,22.5,8.76,0.1,0.95,153.059,195.963,226.971,8.5034,0.4966,0.0593,0.1874,68.988,6.523,0,32,0.0,1.0,0.7422222222222222,1.24,0.06444444444444444,92.29000697122969,1.0021415168990253
