scenario,config,world,seed,samples,horizon,robot_model,result,success,time_s,path_len_m,min_clear_m,stall_s,controller_mean_ms,controller_p95_ms,controller_max_ms,goal_progress_m,final_goal_distance_m,mean_path_error_m,max_path_error_m,wall_time_s,controller_hz,mode_switches,omega_sign_flips,branch_selection_fraction,fallback_selection_fraction,ancillary_available_fraction,mean_active_ancillary_modes,assist_fraction,mean_ess,min_ess
static,path_biased,0,0,1024,56,slip,success,1,21.85,9.07,0.127,0.1,141.701,172.11,188.502,8.5131,0.4869,0.0818,0.2706,62.021,7.046,0,17,0.0,1.0,0.0,0.0,0.0,175.59634324183824,6.099326130249554
static,path_biased,0,1,1024,56,slip,success,1,22.05,9.01,0.115,0.05,140.934,168.99,190.324,8.502,0.498,0.0729,0.2862,62.252,7.084,0,11,0.0,1.0,0.0,0.0,0.0,176.12314633009552,6.337655149698066
static,path_biased,0,2,1024,56,slip,success,1,21.85,9.04,0.12,0.1,141.181,168.722,192.264,8.5148,0.4852,0.077,0.2793,61.795,7.072,0,21,0.0,1.0,0.0,0.0,0.0,172.12067101618914,3.278308922862567
static,path_biased,0,3,1024,56,slip,success,1,22.0,9.1,0.127,0.1,141.186,172.764,191.72,8.512,0.488,0.0836,0.2981,62.222,7.071,0,17,0.0,1.0,0.0,0.0,0.0,179.36124452625234,6.679536497854236
static,path_biased,0,4,1024,56,slip,success,1,22.2,9.04,0.12,0.1,140.3,169.148,181.58,8.5118,0.4882,0.0769,0.2904,62.394,7.116,0,17,0.0,1.0,0.0,0.0,0.0,177.39086193530855,5.1025280020302635
static,path_biased,1,0,1024,56,slip,success,1,21.0,9.15,0.139,0.05,141.509,169.541,182.911,8.516,0.484,0.0498,0.1486,59.527,7.056,0,36,0.0,1.0,0.0,0.0,0.0,186.0330183513986,4.131291774990738
static,path_biased,1,1,1024,56,slip,success,1,20.85,9.15,0.139,0.05,142.256,171.07,193.664,8.5164,0.4836,0.05,0.1389,59.414,7.019,0,36,0.0,1.0,0.0,0.0,0.0,185.08989724496325,9.00431810263895
static,path_biased,1,2,1024,56,slip,success,1,20.75,9.15,0.139,0.1,141.825,171.632,181.581,8.5102,0.4898,0.0502,0.1469,58.951,7.04,0,12,0.0,1.0,0.0,0.0,0.0,181.43999710540737,8.831508573024177
static,path_biased,1,3,1024,56,slip,success,1,21.0,9.15,0.131,0.1,141.13,169.863,180.749,8.52,0.48,0.0488,0.1436,59.371,7.074,0,28,0.0,1.0,0.0,0.0,0.0,188.0904610140834,8.384980020242878
static,path_biased,1,4,1024,56,slip,success,1,20.8,9.15,0.139,0.05,140.995,168.363,180.572,8.5208,0.4792,0.0505,0.1309,58.749,7.081,0,12,0.0,1.0,0.0,0.0,0.0,188.53233454201452,4.2678063732107185
static,path_biased,5,0,1024,56,slip,success,1,19.15,8.5,0.15,0.05,136.679,167.47,179.517,8.5005,0.4995,0.0154,0.0385,52.436,7.304,0,50,0.0,1.0,0.0,0.0,0.0,267.079902902075,13.862709252139155
static,path_biased,5,1,1024,56,slip,success,1,19.15,8.51,0.15,0.05,136.339,166.308,174.185,8.5088,0.4912,0.0146,0.0377,52.305,7.322,0,50,0.0,1.0,0.0,0.0,0.0,264.96854743159093,19.480021559096475
