scenario,config,world,seed,result,success,time_s,path_len_m,min_clear_m,stall_s,controller_mean_ms,controller_p95_ms,controller_max_ms,omega_sign_flips,mode_switches,assist_fraction,branch_selection_fraction,mean_ess,mean_path_error_m,max_path_error_m,reference_separation_fraction,reference_pairs,mean_reference_length_m,centreline_coverage,feasible_branch_fraction,mean_guided_modes,update_collapsed_fraction,own_drift_fraction,mean_free_energy_gap,reference_fallback_fraction
normal,shaped,4,0,success,1,21.1,9.31,0.099,0.05,176.064,284.164,361.934,7,0,0.0,0.0,89.4668292011192,0.0914,0.3691,nan,0,nan,nan,nan,nan,nan,nan,nan,0.0
normal,nominal_fb,4,0,success,1,21.1,9.31,0.099,0.05,152.859,237.945,350.83,7,0,0.0,0.0,89.4668292011192,0.0914,0.3691,nan,0,nan,nan,nan,nan,nan,nan,nan,0.1452991452991453
normal,shaped,4,1,success,1,21.15,9.27,0.104,0.05,155.925,242.958,341.5,11,0,0.0,0.0,87.6213206098489,0.0784,0.2741,nan,0,nan,nan,nan,nan,nan,nan,nan,0.0
normal,nominal_fb,4,1,success,1,21.15,9.27,0.104,0.05,158.406,254.604,410.067,11,0,0.0,0.0,87.6213206098489,0.0784,0.2741,nan,0,nan,nan,nan,nan,nan,nan,nan,0.13
normal,shaped,48,0,success,1,20.0,8.74,0.091,0.05,142.17,219.853,353.449,13,0,0.0,0.0,89.40682868445936,0.0422,0.1559,nan,0,nan,nan,nan,nan,nan,nan,nan,0.0
normal,nominal_fb,48,0,success,1,20.0,8.74,0.091,0.05,233.579,324.427,400.255,13,0,0.0,0.0,89.40682868445936,0.0422,0.1559,nan,0,nan,nan,nan,nan,nan,nan,nan,0.1443478260869565
normal,shaped,48,1,success,1,19.85,8.74,0.106,0.05,145.521,202.916,278.683,10,0,0.0,0.0,89.34082287779255,0.047,0.1392,nan,0,nan,nan,nan,nan,nan,nan,nan,0.0
normal,nominal_fb,48,1,success,1,19.85,8.74,0.106,0.05,147.49,232.153,343.671,10,0,0.0,0.0,89.34082287779255,0.047,0.1392,nan,0,nan,nan,nan,nan,nan,nan,nan,0.11578947368421053
normal,shaped,49,0,success,1,20.05,8.9,0.108,0.05,153.457,208.499,356.353,4,0,0.0,0.0,89.27270968447701,0.0567,0.1555,nan,0,nan,nan,nan,nan,nan,nan,nan,0.0
normal,nominal_fb,49,0,success,1,20.05,8.9,0.108,0.05,175.283,261.829,386.826,4,0,0.0,0.0,89.27270968447701,0.0567,0.1555,nan,0,nan,nan,nan,nan,nan,nan,nan,0.25100671140939596
normal,shaped,49,1,success,1,20.15,8.93,0.106,0.05,165.179,241.487,339.172,12,0,0.0,0.0,89.685344982626,0.0539,0.2187,nan,0,nan,nan,nan,nan,nan,nan,nan,0.0
normal,nominal_fb,49,1,success,1,20.15,8.93,0.106,0.05,173.13,262.87,340.046,12,0,0.0,0.0,89.685344982626,0.0539,0.2187,nan,0,nan,nan,nan,nan,nan,nan,nan,0.23066666666666666
blocked,shaped,4,0,success,1,22.3,9.71,0.105,0.05,152.511,221.139,288.503,9,6,1.0,0.5201793721973094,46.72377365754299,0.3791,1.1726,0.0,68,0.6229193153845292,0.26088794854792197,0.96,1.345291479820628,1.0,0.0016666666666666668,1.15469538800455,0.0
blocked,nominal_fb,4,0,success,1,21.8,9.66,0.116,0.05,160.612,254.8,408.331,10,6,1.0,0.6536697247706422,52.31054508257177,0.3651,1.1502,0.04878048780487805,123,1.0947129667280437,0.45793946292800675,0.95,1.3073394495412844,0.975609756097561,0.031578947368421054,2.7819101110479596,0.235
blocked,shaped,4,1,success,1,22.75,9.82,0.102,0.05,219.267,308.546,418.717,15,6,1.0,0.5208791208791209,48.454292517048636,0.388,1.1996,0.0,61,0.6142237651204124,0.2570711422893926,0.9428571428571428,1.3054945054945055,0.9672131147540983,0.0016835016835016834,0.9695941135720301,0.0
blocked,nominal_fb,4,1,success,1,22.1,9.77,0.1,0.05,179.031,279.517,423.58,10,6,1.0,0.665158371040724,59.55309635370294,0.3802,1.1806,0.10084033613445378,119,1.0965480926011018,0.45849353768641016,0.95,1.2895927601809956,0.9663865546218487,0.02982456140350877,2.8306867631145964,0.23333333333333334
blocked,shaped,48,0,success,1,29.0,10.43,0.104,0.6,153.385,205.401,358.227,16,6,1.0,0.7017241379310345,66.9434737254448,0.3634,0.9899,0.0,213,0.4999487550513208,0.20602940247559723,0.8330097087378641,1.4793103448275862,1.0,0.0,1.281194742944578,0.0
blocked,nominal_fb,48,0,success,1,31.3,11.15,0.112,1.1,172.925,269.027,375.461,12,7,1.0,0.8099041533546326,63.51748894077627,0.3822,0.9962,0.12335958005249344,381,0.9615010541998484,0.3507970417578268,0.9124423963133641,1.5814696485623003,0.9396325459317585,0.006060606060606061,1.898562067254962,0.3529953917050691
blocked,shaped,48,1,success,1,28.1,10.43,0.101,0.05,159.709,234.618,377.98,8,8,1.0,0.6797153024911032,61.71224781166717,0.3487,1.0282,0.0,211,0.5034081848890454,0.20834644504660296,0.8412060301507538,1.48932384341637,1.0,0.0,0.9796475946639,0.0
blocked,nominal_fb,48,1,success,1,31.1,11.07,0.107,1.1,194.965,297.494,441.033,15,7,1.0,0.8118971061093248,59.16079374273285,0.3703,0.9684,0.1640625,384,0.9518796984467028,0.34734774923796735,0.9218604651162791,1.5932475884244373,0.8567708333333334,0.012108980827447022,2.413731536487567,0.36465116279069765
blocked,shaped,49,0,success,1,26.25,9.63,0.092,0.05,177.124,284.987,391.819,12,7,1.0,0.3904761904761905,67.34290080228148,0.2311,0.7232,0.0,501,0.4733074964440288,0.1965028332755667,0.9018018018018018,1.9066666666666667,0.9800399201596807,0.0,0.4307579202960134,0.0
blocked,nominal_fb,49,0,success,1,22.5,9.71,0.105,0.05,163.839,230.873,375.093,10,7,1.0,0.6955555555555556,53.404007077153864,0.238,0.9128,0.3934782608695652,460,0.9403367972556638,0.3922645520199922,0.9438202247191011,1.8666666666666667,0.7869565217391304,0.05476190476190476,1.0914499946409815,0.35842696629213483
blocked,shaped,49,1,success,1,26.4,9.64,0.082,0.05,169.938,249.06,404.103,16,12,1.0,0.48863636363636365,68.56475339805228,0.2211,0.6482,0.0,463,0.46004335506382465,0.19217209143104502,0.8751131221719457,1.831439393939394,0.9848812095032398,0.0,0.4826780212276766,0.0
blocked,nominal_fb,49,1,success,1,21.7,9.34,0.103,0.05,292.52,403.943,455.354,12,5,1.0,0.7373271889400922,49.92514292275854,0.2021,0.6696,0.2828282828282828,396,0.9084464865526763,0.38094720689954387,0.9341317365269461,1.7972350230414746,0.7373737373737373,0.041025641025641026,1.3897687968576578,0.37005988023952097
dynamic,shaped,4,0,success,1,21.15,9.33,0.103,0.05,187.119,271.668,390.404,17,3,0.26004728132387706,0.026004728132387706,31.792034227720023,0.0958,0.3378,0.0,126,0.3143350774715662,0.13746472723300152,0.9487179487179487,1.6818181818181819,1.0,0.0,0.9797225772447287,0.0
dynamic,nominal_fb,4,0,success,1,21.0,9.3,0.11,0.05,194.519,269.741,372.277,17,8,0.2619047619047619,0.1619047619047619,32.8788333312181,0.0814,0.294,0.25196850393700787,127,1.0951784202113921,0.47450355291878915,0.8972972972972973,1.509090909090909,0.7007874015748031,0.05421686746987952,1.8599322337230655,0.22857142857142856
