world,category,astar_reachable,path_length_m,centreline_margin_m,footprint_clearance_m,bottleneck_x,bottleneck_y,reason
0,tight,1,9.372,0.008,0.055,-3.034,5.777,
1,tight,1,9.572,0.001,0.081,-2.507,8.295,
2,unreachable,0,,,,,,A*: goal unreachable in inflated free space
3,tight,1,9.010,0.001,0.081,-2.362,6.849,
4,tight,1,9.630,0.000,0.080,-2.747,6.963,
5,tight,1,9.000,0.031,0.110,-2.250,6.100,
6,critical,1,9.401,0.006,0.025,-2.838,8.594,
7,footprint_collision,1,9.728,-0.014,-0.028,-2.273,10.016,
8,tight,1,9.563,0.013,0.093,-3.129,8.840,
9,tight,1,9.005,0.000,0.080,-2.364,5.098,
10,tight,1,9.142,0.002,0.082,-2.659,8.088,
11,tight,1,9.048,0.004,0.084,-2.673,6.634,
12,tight,1,9.506,0.018,0.073,-1.795,7.256,
13,unreachable,0,,,,,,A*: goal unreachable in inflated free space
14,tight,1,9.427,0.008,0.089,-2.960,9.360,
15,tight,1,9.180,0.005,0.064,-2.247,8.018,
16,tight,1,9.510,0.010,0.081,-3.389,7.370,
17,tight,1,9.424,0.009,0.089,-1.414,5.930,
18,tight,1,9.163,0.021,0.101,-2.822,7.776,
19,critical,1,10.490,0.003,0.031,-2.382,8.653,
20,tight,1,9.044,0.001,0.081,-1.831,6.033,
21,tight,1,9.193,0.011,0.091,-2.827,5.261,
22,footprint_collision,1,9.407,-0.014,-0.029,-2.250,10.000,
23,critical,1,9.089,0.001,0.040,-2.024,7.458,
24,unreachable,0,,,,,,A*: goal unreachable in inflated free space
25,tight,1,9.069,0.036,0.116,-1.954,7.944,
26,footprint_collision,1,9.275,-0.000,-0.059,-2.258,6.926,
27,tight,1,9.083,0.010,0.090,-2.521,7.494,
28,tight,1,9.103,0.011,0.091,-1.831,8.538,
29,tight,1,9.267,0.025,0.105,-3.112,7.443,
30,tight,1,9.971,0.020,0.100,-1.194,7.528,
31,tight,1,9.320,0.020,0.051,-1.760,8.171,
32,tight,1,9.005,0.000,0.080,-2.364,4.948,
33,tight,1,10.297,0.003,0.062,-1.663,6.641,
34,tight,1,9.044,0.004,0.084,-2.672,5.128,
35,tight,1,9.494,0.000,0.080,-3.042,9.244,
36,tight,1,9.000,0.031,0.110,-2.250,8.050,
37,tight,1,9.557,0.017,0.076,-3.267,8.257,
38,footprint_collision,1,10.092,-0.014,-0.002,-2.294,10.029,
39,critical,1,9.037,0.002,0.038,-2.269,8.394,
40,comfortable,1,9.000,0.180,0.260,-2.250,9.100,
41,tight,1,9.000,0.031,0.110,-2.250,7.150,
42,comfortable,1,9.000,0.480,0.560,-2.250,8.500,
43,tight,1,9.437,0.011,0.062,-1.504,6.296,
44,tight,1,9.963,0.007,0.059,-3.162,8.327,
45,tight,1,9.686,0.004,0.084,-3.082,6.082,
46,tight,1,9.123,0.013,0.093,-1.523,5.846,
