n,seed,condition,motion,result,success,min_clear_m,time_s,path_len_m,controller_mean_ms,blob_active_cycles,blob_cycles,blob_routes,blob_infeasible,blob_mean_ms,modes_added
10,0,base,waypoint,success,1,0.401,22.65,10.12,357.234,0,0,0,0,0.0,0
10,0,modes,waypoint,success,1,0.401,22.7,10.11,313.789,0,0,0,0,0.0,86
10,0,blob_extras,waypoint,success,1,0.401,22.65,10.12,353.105,0,453,0,0,27.098,0
10,0,blob_pods,waypoint,success,1,0.401,22.65,10.12,322.462,0,453,0,0,23.505,0
10,1,base,waypoint,success,1,0.233,26.0,11.23,352.936,0,0,0,0,0.0,0
10,1,modes,waypoint,success,1,0.21,25.65,11.07,341.228,0,0,0,0,0.0,76
10,1,blob_extras,waypoint,success,1,0.233,26.0,11.23,418.225,0,520,0,0,29.973,0
10,1,blob_pods,waypoint,success,1,0.233,26.0,11.23,337.956,0,520,0,0,23.892,0
10,2,base,waypoint,success,1,0.217,30.7,10.89,346.287,0,0,0,0,0.0,0
10,2,modes,waypoint,success,1,0.215,30.6,10.81,372.677,0,0,0,0,0.0,32
10,2,blob_extras,waypoint,success,1,0.217,31.1,10.91,377.343,35,622,70,25,27.942,0
10,2,blob_pods,waypoint,success,1,0.191,30.8,10.72,378.055,39,616,117,56,28.525,0
10,3,base,waypoint,success,1,0.168,31.75,11.87,282.841,0,0,0,0,0.0,0
10,3,modes,waypoint,success,1,0.18,31.55,12.01,384.007,0,0,0,0,0.0,112
10,3,blob_extras,waypoint,success,1,0.179,33.4,11.4,459.445,85,668,170,93,34.545,0
10,3,blob_pods,waypoint,success,1,0.116,35.1,12.37,297.023,120,702,360,176,18.821,0
10,4,base,waypoint,success,1,0.191,31.3,12.03,285.206,0,0,0,0,0.0,0
10,4,modes,waypoint,success,1,0.129,30.25,11.91,357.995,0,0,0,0,0.0,106
10,4,blob_extras,waypoint,success,1,0.124,35.6,13.41,363.014,215,712,430,129,25.108,0
10,4,blob_pods,waypoint,success,1,0.171,33.45,12.81,394.826,115,669,345,144,28.39,0
10,5,base,waypoint,success,1,0.145,24.3,10.78,296.813,0,0,0,0,0.0,0
10,5,modes,waypoint,success,1,0.145,24.4,10.82,386.075,0,0,0,0,0.0,64
10,5,blob_extras,waypoint,success,1,0.145,24.3,10.78,310.197,0,486,0,0,22.517,0
10,5,blob_pods,waypoint,success,1,0.145,24.3,10.78,359.018,0,486,0,0,28.738,0
10,6,base,waypoint,success,1,0.112,30.85,11.87,374.923,0,0,0,0,0.0,0
10,6,modes,waypoint,success,1,0.121,25.45,10.9,320.659,0,0,0,0,0.0,225
10,6,blob_extras,waypoint,success,1,0.112,26.05,11.02,329.047,171,521,342,46,22.186,0
10,6,blob_pods,waypoint,success,1,0.118,26.1,11.12,348.627,121,522,357,25,24.336,0
10,7,base,waypoint,success,1,0.119,26.35,11.38,348.093,0,0,0,0,0.0,0
10,7,modes,waypoint,success,1,0.121,26.15,11.11,375.388,0,0,0,0,0.0,220
10,7,blob_extras,waypoint,success,1,0.119,26.35,11.38,323.172,0,527,0,0,20.834,0
10,7,blob_pods,waypoint,success,1,0.119,26.35,11.38,372.823,0,527,0,0,27.413,0
10,8,base,waypoint,success,1,0.153,28.85,12.45,410.302,0,0,0,0,0.0,0
10,8,modes,waypoint,success,1,0.118,28.9,12.54,460.556,0,0,0,0,0.0,214
10,8,blob_extras,waypoint,success,1,0.063,36.65,15.49,257.188,149,733,298,56,17.092,0
10,8,blob_pods,waypoint,success,1,0.075,36.8,15.18,334.603,135,736,403,68,24.703,0
10,9,base,waypoint,success,1,0.249,24.1,10.56,356.719,0,0,0,0,0.0,0
10,9,modes,waypoint,success,1,0.225,23.9,10.48,274.299,0,0,0,0,0.0,48
10,9,blob_extras,waypoint,success,1,0.249,24.1,10.56,352.402,0,482,0,0,26.644,0
10,9,blob_pods,waypoint,success,1,0.249,24.1,10.56,337.243,0,482,0,0,23.777,0
10,10,base,waypoint,success,1,0.142,23.95,10.49,319.587,0,0,0,0,0.0,0
10,10,modes,waypoint,success,1,0.154,24.0,10.47,310.091,0,0,0,0,0.0,24
10,10,blob_extras,waypoint,success,1,0.151,24.05,10.51,324.582,31,481,52,15,23.63,0
10,10,blob_pods,waypoint,success,1,0.181,24.7,10.87,289.739,21,494,54,12,19.652,0
10,11,base,waypoint,success,1,0.196,35.3,12.01,271.98,0,0,0,0,0.0,0
10,11,modes,waypoint,success,1,0.15,35.4,12.08,289.93,0,0,0,0,0.0,86
10,11,blob_extras,waypoint,success,1,0.145,28.55,11.42,318.568,58,571,116,55,22.192,0
10,11,blob_pods,waypoint,success,1,0.124,29.4,11.41,452.995,76,588,228,115,35.358,0
10,12,base,waypoint,success,1,0.128,30.95,12.64,248.042,0,0,0,0,0.0,0
10,12,modes,waypoint,success,1,0.115,30.05,11.9,425.962,0,0,0,0,0.0,120
10,12,blob_extras,waypoint,success,1,0.128,29.85,12.0,373.975,154,597,308,86,24.057,0
10,12,blob_pods,waypoint,success,1,0.145,29.75,11.67,437.976,154,595,462,151,30.385,0
10,13,base,waypoint,success,1,0.146,33.15,13.08,284.418,0,0,0,0,0.0,0
10,13,modes,waypoint,success,1,0.17,32.65,12.08,290.551,0,0,0,0,0.0,258
10,13,blob_extras,waypoint,success,1,0.141,32.1,12.61,414.921,70,642,140,20,28.745,0
10,13,blob_pods,waypoint,success,1,0.147,31.5,12.34,447.343,70,630,210,32,34.327,0
10,14,base,waypoint,success,1,0.161,29.15,11.64,378.07,0,0,0,0,0.0,0
10,14,modes,waypoint,success,1,0.161,29.15,11.64,269.394,0,0,0,0,0.0,0
10,14,blob_extras,waypoint,success,1,0.161,29.15,11.64,321.446,0,583,0,0,24.664,0
10,14,blob_pods,waypoint,success,1,0.161,29.15,11.64,317.58,0,583,0,0,23.379,0
10,15,base,waypoint,success,1,0.186,24.25,10.78,278.406,0,0,0,0,0.0,0
10,15,modes,waypoint,success,1,0.111,24.85,10.96,289.524,0,0,0,0,0.0,168
10,15,blob_extras,waypoint,success,1,0.154,24.25,10.77,254.99,28,485,56,7,16.119,0
10,15,blob_pods,waypoint,success,1,0.198,24.35,10.78,311.078,29,487,87,30,21.283,0
10,16,base,waypoint,success,1,0.13,23.15,10.32,376.22,0,0,0,0,0.0,0
10,16,modes,waypoint,success,1,0.147,23.35,10.37,318.534,0,0,0,0,0.0,22
10,16,blob_extras,waypoint,success,1,0.13,23.15,10.32,430.307,0,463,0,0,39.035,0
10,16,blob_pods,waypoint,success,1,0.13,23.15,10.32,415.948,0,463,0,0,36.662,0
10,17,base,waypoint,success,1,0.142,34.35,14.29,339.926,0,0,0,0,0.0,0
10,17,modes,waypoint,success,1,0.142,34.35,14.29,334.728,0,0,0,0,0.0,74
10,17,blob_extras,waypoint,success,1,0.157,26.65,11.61,321.118,89,533,172,36,22.565,0
10,17,blob_pods,waypoint,success,1,0.132,26.4,11.57,278.466,96,528,288,84,18.322,0
10,18,base,waypoint,success,1,0.206,27.75,11.97,385.484,0,0,0,0,0.0,0
10,18,modes,waypoint,success,1,0.208,26.65,11.5,269.498,0,0,0,0,0.0,64
10,18,blob_extras,waypoint,success,1,0.161,24.1,10.68,287.466,30,482,60,7,21.962,0
10,18,blob_pods,waypoint,success,1,0.167,25.05,11.0,400.828,29,501,87,7,31.631,0
10,19,base,waypoint,success,1,0.348,24.9,10.99,362.831,0,0,0,0,0.0,0
10,19,modes,waypoint,success,1,0.348,25.05,11.08,302.241,0,0,0,0,0.0,48
10,19,blob_extras,waypoint,success,1,0.348,24.9,10.99,250.178,0,498,0,0,15.809,0
10,19,blob_pods,waypoint,success,1,0.348,24.9,10.99,440.381,0,498,0,0,34.559,0
20,0,base,waypoint,success,1,0.104,25.6,11.25,375.22,0,0,0,0,0.0,0
20,0,modes,waypoint,success,1,0.1,25.85,11.31,444.609,0,0,0,0,0.0,56
20,0,blob_extras,waypoint,success,1,0.102,25.6,11.25,311.935,2,512,4,0,21.086,0
20,0,blob_pods,waypoint,success,1,0.102,25.6,11.25,297.283,2,512,6,0,19.555,0
20,1,base,waypoint,success,1,0.125,25.25,10.58,450.604,0,0,0,0,0.0,0
20,1,modes,waypoint,success,1,0.14,25.25,10.59,401.853,0,0,0,0,0.0,30
20,1,blob_extras,waypoint,success,1,0.147,25.15,10.52,322.749,10,503,20,5,20.647,0
20,1,blob_pods,waypoint,success,1,0.125,25.25,10.58,342.115,10,505,30,8,23.36,0
20,2,base,waypoint,timeout,0,0.123,60.0,17.45,279.792,0,0,0,0,0.0,0
20,2,modes,waypoint,collision,0,-0.006,50.5,14.51,428.815,0,0,0,0,0.0,344
20,2,blob_extras,waypoint,collision,0,-0.004,49.55,14.47,397.783,551,991,948,246,20.542,0
20,2,blob_pods,waypoint,collision,0,-0.006,50.4,14.46,479.078,666,1008,1988,576,23.007,0
20,3,base,waypoint,success,1,0.132,30.7,11.85,274.501,0,0,0,0,0.0,0
