world,seed,spacetime_flow,result,success,min_clear_m,time_s,controller_mean_ms,controller_p95_ms
4,0,False,success,1,0.113,25.6,160.4,222.608
4,0,True,success,1,0.123,27.7,162.122,240.323
4,1,False,success,1,0.108,21.3,155.28,244.711
4,1,True,timeout,0,0.062,60.0,166.674,254.354
4,2,False,success,1,0.053,26.8,190.769,290.243
4,2,True,success,1,0.064,45.6,183.585,275.957
48,0,False,success,1,0.098,21.9,159.324,243.942
48,0,True,success,1,0.108,34.35,169.397,250.369
48,1,False,success,1,0.105,20.15,159.569,239.568
48,1,True,success,1,0.105,27.5,160.864,237.626
48,2,False,success,1,0.106,20.45,247.518,331.624
48,2,True,success,1,0.112,29.15,175.287,254.074
49,0,False,success,1,0.103,35.15,166.58,230.849
49,0,True,success,1,0.086,33.45,163.669,206.871
49,1,False,success,1,0.123,21.6,175.14,273.898
49,1,True,success,1,0.111,27.15,162.639,203.444
49,2,False,success,1,0.1,21.15,165.094,240.898
49,2,True,success,1,0.106,39.45,332.214,588.894
7,0,False,success,1,0.14,21.0,167.995,244.284
7,0,True,success,1,0.155,32.85,204.851,306.814
7,1,False,success,1,0.117,23.95,160.504,207.278
7,1,True,success,1,0.145,32.75,187.784,270.89
7,2,False,success,1,0.061,38.0,208.502,289.004
7,2,True,success,1,0.133,35.2,220.847,327.672
42,0,False,success,1,0.209,20.05,156.624,205.38
42,0,True,success,1,0.151,29.5,219.11,332.942
42,1,False,success,1,0.129,19.3,280.932,553.727
42,1,True,success,1,0.146,32.2,260.983,529.765
42,2,False,success,1,0.194,21.8,251.928,344.329
42,2,True,success,1,0.204,35.8,206.831,339.565
93,0,False,success,1,0.212,33.5,187.33,329.759
93,0,True,success,1,0.124,41.45,196.7,459.172
93,1,False,success,1,0.15,23.25,200.951,491.794
93,1,True,success,1,0.152,37.3,172.902,321.07
93,2,False,success,1,0.108,24.8,160.041,261.924
93,2,True,success,1,0.118,36.1,140.665,193.241
