world,seed,spacetime_flow,flow_w,result,success,min_clear_m,time_s,controller_mean_ms,controller_p95_ms
4,0,False,1.0,success,1,0.113,25.6,154.087,190.176
4,0,True,0.1,success,1,0.103,25.8,161.46,251.638
4,1,False,1.0,success,1,0.108,21.3,148.464,188.054
4,1,True,0.1,success,1,0.11,22.3,259.72,339.214
4,2,False,1.0,success,1,0.053,26.8,163.757,244.774
4,2,True,0.1,success,1,0.065,51.15,192.32,281.62
48,0,False,1.0,success,1,0.098,21.9,153.909,199.215
48,0,True,0.1,success,1,0.108,27.25,163.253,245.837
48,1,False,1.0,success,1,0.105,20.15,154.805,202.077
48,1,True,0.1,success,1,0.104,20.85,167.023,247.724
48,2,False,1.0,success,1,0.106,20.45,174.151,272.132
48,2,True,0.1,success,1,0.113,21.0,156.482,196.497
49,0,False,1.0,success,1,0.103,35.15,167.815,237.203
49,0,True,0.1,success,1,0.104,31.05,184.023,261.647
49,1,False,1.0,success,1,0.123,21.6,187.318,275.675
49,1,True,0.1,success,1,0.095,22.25,186.147,281.747
49,2,False,1.0,success,1,0.1,21.15,163.057,211.055
49,2,True,0.1,success,1,0.108,22.3,208.463,296.277
7,0,False,1.0,success,1,0.14,21.0,162.246,211.571
7,0,True,0.1,success,1,0.148,23.2,176.011,272.529
7,1,False,1.0,success,1,0.117,23.95,163.474,210.436
7,1,True,0.1,success,1,0.168,23.25,165.98,212.267
7,2,False,1.0,success,1,0.061,38.0,166.358,263.226
7,2,True,0.1,success,1,0.166,24.55,176.236,243.501
42,0,False,1.0,success,1,0.209,20.05,162.353,219.526
42,0,True,0.1,success,1,0.204,23.6,174.638,276.198
42,1,False,1.0,success,1,0.129,19.3,264.284,360.912
42,1,True,0.1,success,1,0.177,26.75,168.208,246.654
42,2,False,1.0,success,1,0.194,21.8,160.372,210.216
42,2,True,0.1,success,1,0.177,28.4,156.922,201.792
93,0,False,1.0,success,1,0.212,33.5,165.412,261.348
93,0,True,0.1,success,1,0.19,35.75,163.273,265.048
93,1,False,1.0,success,1,0.15,23.25,154.377,202.057
93,1,True,0.1,success,1,0.142,26.55,146.042,201.035
93,2,False,1.0,success,1,0.108,24.8,155.066,268.989
93,2,True,0.1,success,1,0.207,26.05,140.584,192.812
