world,seed,spacetime_modes,result,success,min_clear_m,time_s,controller_mean_ms,controller_p95_ms,spacetime_triggers,spacetime_modes_added
4,0,False,success,1,0.113,25.6,154.087,190.176,0,0
4,1,False,success,1,0.108,21.3,148.464,188.054,0,0
4,2,False,success,1,0.053,26.8,163.757,244.774,0,0
48,0,False,success,1,0.098,21.9,153.909,199.215,0,0
48,1,False,success,1,0.105,20.15,154.805,202.077,0,0
48,2,False,success,1,0.106,20.45,174.151,272.132,0,0
49,0,False,success,1,0.103,35.15,167.815,237.203,0,0
49,1,False,success,1,0.123,21.6,187.318,275.675,0,0
49,2,False,success,1,0.1,21.15,163.057,211.055,0,0
7,0,False,success,1,0.14,21.0,162.246,211.571,0,0
7,1,False,success,1,0.117,23.95,163.474,210.436,0,0
7,2,False,success,1,0.061,38.0,166.358,263.226,0,0
42,0,False,success,1,0.209,20.05,162.353,219.526,0,0
42,1,False,success,1,0.129,19.3,264.284,360.912,0,0
42,2,False,success,1,0.194,21.8,160.372,210.216,0,0
93,0,False,success,1,0.212,33.5,165.412,261.348,0,0
93,1,False,success,1,0.15,23.25,154.377,202.057,0,0
93,2,False,success,1,0.108,24.8,155.066,268.989,0,0
4,0,True,success,1,0.1,25.3,177.844,283.673,170,32
4,1,True,success,1,0.104,21.25,172.258,281.841,136,240
4,2,True,success,1,0.053,26.8,274.015,379.683,61,102
48,0,True,success,1,0.099,23.35,188.168,286.674,142,158
48,1,True,success,1,0.109,20.3,166.116,254.878,65,40
48,2,True,success,1,0.106,20.45,177.98,299.485,30,0
49,0,True,success,1,0.103,35.15,182.116,267.603,222,22
49,1,True,success,1,0.127,21.05,171.569,233.214,115,106
49,2,True,success,1,0.1,21.15,165.612,215.579,95,106
7,0,True,success,1,0.117,20.95,188.098,321.068,113,20
7,1,True,success,1,0.117,23.7,169.58,234.599,50,10
7,2,True,success,1,0.053,43.15,160.042,261.344,198,168
42,0,True,success,1,0.165,20.0,185.355,321.738,143,160
42,1,True,success,1,0.13,19.25,170.608,267.284,78,84
42,2,True,success,1,0.146,21.5,166.727,252.098,166,144
93,0,True,success,1,0.227,32.2,159.188,231.055,260,104
93,1,True,success,1,0.141,22.8,164.155,311.551,218,132
93,2,True,success,1,0.113,25.2,155.213,227.969,174,42
