config,world,seed,result,success,time_s,path_len_m,min_clear_m,stall_s,omega_sign_flips,mode_switches,fallback_fraction,unique_branch_ids,mean_ess,min_ess,mean_path_error_m,max_path_error_m,mean_field_ms,mean_proposal_ms,mean_path_proposal_ms
baseline,4,0,success,1,25.65,9.64,0.098,0.1,161,0,1.0,0,nan,nan,0.1042,0.3381,26.059,0.0,0.0
path25,4,0,success,1,20.55,9.21,0.1,0.05,21,11,0.5450121654501217,12,17.560967981176116,1.0014621789953115,0.0788,0.2089,27.038,5.729,4.306
default,4,0,success,1,21.05,9.27,0.091,0.1,19,7,0.66270783847981,10,18.12455791901641,1.0002847731406237,0.0934,0.3139,27.276,5.838,4.315
path70,4,0,success,1,20.9,9.22,0.091,0.1,24,5,0.69377990430622,11,17.449594054708818,1.0001888135456958,0.0848,0.2748,27.09,5.798,4.266
conservative,4,0,success,1,21.1,9.36,0.088,0.1,21,5,0.5,10,17.46027198082176,1.0000128206800003,0.1094,0.3146,27.236,5.865,4.271
baseline,4,1,success,1,24.95,9.58,0.098,0.0,158,0,1.0,0,nan,nan,0.111,0.3382,26.349,0.0,0.0
path25,4,1,success,1,20.75,9.22,0.119,0.05,17,8,0.744578313253012,10,17.75375160796224,1.0000004171101873,0.0733,0.1683,26.94,5.667,4.246
default,4,1,success,1,20.7,9.24,0.105,0.05,16,5,0.8526570048309179,10,19.721612857599958,1.003374520673301,0.063,0.2426,27.223,5.734,4.243
path70,4,1,success,1,21.1,9.25,0.112,0.05,15,7,0.8744075829383886,11,20.508565007261176,1.0001973702164064,0.0684,0.2309,26.706,5.642,4.23
conservative,4,1,success,1,20.9,9.27,0.091,0.05,17,3,0.5669856459330144,11,19.149918542410308,1.0000180800801528,0.0879,0.2944,26.784,5.785,4.258
baseline,48,0,success,1,23.75,8.97,0.11,0.2,159,0,1.0,0,nan,nan,0.0996,0.3136,25.323,0.0,0.0
path25,48,0,success,1,19.85,8.81,0.11,0.05,10,7,0.7103274559193955,6,18.045454819305604,1.000015420159399,0.0547,0.1869,25.329,5.562,4.229
default,48,0,success,1,19.75,8.76,0.095,0.05,20,7,0.789873417721519,8,20.942552776493304,1.0022812976838835,0.0475,0.1994,25.8,5.737,4.204
path70,48,0,success,1,19.9,8.75,0.091,0.05,15,7,0.8090452261306532,6,22.052829880667325,1.0011243389518723,0.0424,0.1593,25.203,5.644,4.221
conservative,48,0,success,1,19.9,8.81,0.091,0.05,11,3,0.7060301507537688,8,20.72188224483614,1.0062279512882066,0.0658,0.2169,25.229,5.609,4.195
baseline,48,1,success,1,23.7,8.99,0.11,0.05,166,0,1.0,0,nan,nan,0.099,0.3306,25.405,0.0,0.0
path25,48,1,success,1,19.9,8.79,0.11,0.1,14,5,0.7010050251256281,9,17.008234954936103,1.0005370160728546,0.0538,0.1533,25.362,5.681,4.211
default,48,1,success,1,19.85,8.74,0.091,0.1,18,7,0.7329974811083123,9,19.784571503788452,1.0000330577091083,0.0432,0.1483,25.245,5.695,4.191
path70,48,1,success,1,19.65,8.74,0.095,0.1,22,7,0.8676844783715013,10,21.80707258310223,1.0000021932534962,0.0465,0.1341,25.304,5.904,4.224
conservative,48,1,success,1,19.8,8.72,0.107,0.1,24,3,0.6515151515151515,9,19.81383086360545,1.0000000047184314,0.0451,0.1116,25.657,5.849,4.203
baseline,49,0,success,1,24.1,9.22,0.1,0.0,176,0,1.0,0,nan,nan,0.0934,0.4142,29.28,0.0,0.0
path25,49,0,success,1,20.3,8.93,0.1,0.05,14,12,0.541871921182266,11,16.270983533533684,1.0002754263291378,0.0633,0.1722,29.677,7.66,4.215
default,49,0,success,1,20.05,8.91,0.1,0.1,10,6,0.6184538653366584,12,17.308256984636706,1.0015895037812634,0.0671,0.1493,30.237,7.484,4.177
path70,49,0,success,1,20.15,8.91,0.111,0.1,14,7,0.6203473945409429,12,16.596253190304054,1.0002652659937217,0.0704,0.2128,29.864,7.733,4.194
conservative,49,0,success,1,20.4,8.87,0.098,0.1,16,2,0.375,12,16.98385424182801,1.0018561649040287,0.0576,0.1399,30.192,7.631,4.192
baseline,49,1,success,1,24.6,9.3,0.107,0.0,180,0,1.0,0,nan,nan,0.1066,0.4044,29.143,0.0,0.0
path25,49,1,success,1,20.2,8.92,0.095,0.05,19,7,0.8094059405940595,10,17.296530193297823,1.0003740527681528,0.0588,0.1735,29.643,7.591,4.199
default,49,1,success,1,20.7,9.08,0.1,0.05,10,8,0.717391304347826,9,19.63787607051947,1.0000007341148012,0.082,0.2091,29.942,7.515,4.179
path70,49,1,success,1,20.65,9.05,0.1,0.05,14,7,0.8135593220338984,12,20.21099534405767,1.0025959979085035,0.0748,0.2218,29.491,7.691,4.257
conservative,49,1,success,1,20.5,8.92,0.083,0.05,16,3,0.3829268292682927,11,17.857599497629355,1.0004534166645007,0.0665,0.1726,29.725,7.587,4.191
