scenario,config,world,seed,result,success,time_s,path_len_m,min_clear_m,stall_s,omega_sign_flips,mode_switches,branch_selection_fraction,unique_branch_ids,mean_ess,min_ess,mean_path_error_m,max_path_error_m,mean_sigma_v,mean_sigma_w
normal,fixed,4,0,success,1,21.1,9.31,0.098,0.05,7,0,0.0,10,89.46682920111918,1.0175448771367444,0.0914,0.3691,0.2,0.5999999999999999
normal,adaptive,4,0,success,1,20.85,9.24,0.107,0.05,11,0,0.0,12,94.45341708533326,1.0241475347996043,0.0687,0.2172,0.18763034933090622,0.5793880117975705
normal,fixed,4,1,success,1,21.15,9.27,0.1,0.05,11,0,0.0,11,87.62132060984894,1.0067600363175055,0.0784,0.2741,0.2,0.5999999999999999
normal,adaptive,4,1,success,1,20.8,9.23,0.107,0.05,12,0,0.0,11,93.53656037508827,1.0502307445066479,0.0671,0.1638,0.18677609422466065,0.580432137011344
normal,fixed,48,0,success,1,20.0,8.74,0.085,0.05,13,0,0.0,12,89.40682868445947,1.0037630517027196,0.0422,0.1559,0.2,0.5999999999999999
normal,adaptive,48,0,success,1,20.0,8.74,0.1,0.05,8,0,0.0,11,92.88573742259234,1.1322553178220263,0.041,0.1264,0.19192538271634135,0.5734421296155277
normal,fixed,48,1,success,1,19.85,8.74,0.1,0.05,10,0,0.0,11,89.34082287779312,1.057585080312625,0.047,0.1392,0.2,0.5999999999999999
normal,adaptive,48,1,success,1,19.7,8.73,0.1,0.05,12,0,0.0,11,94.55762010980506,1.187976325139983,0.0353,0.1419,0.19224008993001587,0.5728333961929297
normal,fixed,49,0,success,1,20.05,8.9,0.1,0.05,4,0,0.0,8,89.27270968447702,1.0061559581678343,0.0567,0.1555,0.20000000000000004,0.5999999999999999
normal,adaptive,49,0,success,1,20.45,9.05,0.095,0.05,4,0,0.0,10,96.84488367403242,1.0726222626360915,0.0663,0.2824,0.18492098488022699,0.58393947055165
normal,fixed,49,1,success,1,20.15,8.93,0.11,0.05,12,0,0.0,10,89.685344982626,1.008526920738048,0.0539,0.2187,0.2,0.5999999999999999
normal,adaptive,49,1,success,1,20.65,9.11,0.1,0.05,6,0,0.0,11,95.8219309875913,1.0094341535536695,0.0698,0.267,0.1838669879663577,0.5858880447761988
blocked,fixed,4,0,success,1,22.3,9.71,0.098,0.05,9,6,0.5201793721973094,15,46.72377365754388,1.0,0.3791,1.1726,0.2,0.5999999999999998
blocked,adaptive,4,0,success,1,26.05,9.99,0.098,0.8,10,9,0.5028790786948176,15,54.076630447047954,1.0,0.4121,1.1406,0.18866306709890895,0.5817851027544138
blocked,fixed,4,1,success,1,22.75,9.82,0.098,0.05,15,6,0.5208791208791209,13,48.454292517049026,1.0000864979554758,0.388,1.1996,0.2,0.5999999999999998
blocked,adaptive,4,1,success,1,25.1,9.98,0.1,0.35,12,9,0.5517928286852589,13,59.301426289648305,1.0,0.397,1.0803,0.18963373016473084,0.5807880166384354
blocked,fixed,48,0,success,1,29.0,10.43,0.1,0.6,16,6,0.7017241379310345,17,66.94347372544493,1.0000000000082867,0.3634,0.9899,0.2,0.5999999999999998
blocked,adaptive,48,0,success,1,32.0,10.86,0.098,1.35,12,15,0.5953125,15,70.77728233504594,1.002847286554316,0.3736,1.1318,0.18589548636801848,0.5881523397321551
blocked,fixed,48,1,success,1,28.15,10.45,0.095,0.05,8,8,0.6696269982238011,18,62.23660308879063,1.0,0.3518,1.0282,0.2,0.5999999999999998
blocked,adaptive,48,1,success,1,31.5,10.61,0.11,0.35,13,16,0.6142857142857143,20,63.87558576485553,1.0,0.3803,1.1403,0.18364754180258316,0.5905788288507816
blocked,fixed,49,0,success,1,26.25,9.63,0.086,0.05,12,7,0.3904761904761905,9,67.34290080228143,1.0000000000065374,0.2311,0.7232,0.2,0.5999999999999998
blocked,adaptive,49,0,success,1,27.65,9.61,0.091,1.15,11,8,0.4412296564195298,12,88.44234937704353,1.0000000000550422,0.2178,0.702,0.18459870940927384,0.5875201193971522
blocked,fixed,49,1,success,1,26.4,9.64,0.076,0.05,16,12,0.48863636363636365,10,68.56475339805306,1.0000000070512796,0.2211,0.6482,0.2,0.5999999999999998
blocked,adaptive,49,1,success,1,27.7,9.72,0.095,0.05,16,8,0.48014440433212996,11,85.60354301690248,1.0000000008408696,0.2382,0.7069,0.18551252938707238,0.5869436097579583
dynamic,fixed,4,0,success,1,21.15,9.33,0.095,0.05,17,3,0.026004728132387706,15,31.792034227720183,1.0163915738692044,0.0958,0.3378,0.20000000000000004,0.5999999999999999
dynamic,adaptive,4,0,success,1,20.95,9.25,0.1,0.05,21,2,0.011933174224343675,16,37.125039071899316,1.0421355008580448,0.0751,0.2254,0.17284891794082186,0.5987970537155026
dynamic,fixed,4,1,success,1,33.7,11.71,0.009,2.05,15,10,0.19732937685459942,21,79.76305881324512,1.0,0.497,1.73,0.2,0.5999999999999998
dynamic,adaptive,4,1,collision,0,13.7,3.24,-0.006,1.8,5,4,0.2664233576642336,15,123.90360024370261,1.0000000000000027,0.189,0.4343,0.18528352961380992,0.5954753886566047
dynamic,fixed,48,0,collision,0,6.45,2.22,-0.007,0.7,3,2,0.21705426356589147,15,49.347918458927865,1.0,0.2236,0.5353,0.20000000000000004,0.5999999999999999
dynamic,adaptive,48,0,success,1,28.9,9.86,0.068,2.25,13,10,0.2370242214532872,24,53.5496054390531,1.0030747035328322,0.1303,0.4661,0.1650480784361277,0.6155773052037099
dynamic,fixed,48,1,success,1,20.15,8.86,0.021,0.05,14,4,0.07444168734491315,17,40.512023763591145,1.000785366101062,0.0894,0.3298,0.20000000000000004,0.5999999999999999
dynamic,adaptive,48,1,success,1,20.35,8.95,0.033,0.05,12,2,0.056511056511056514,13,47.477761177268555,1.067024897204468,0.0949,0.4204,0.18156777248162342,0.5895051188299987
dynamic,fixed,49,0,success,1,23.15,9.49,0.095,0.1,9,4,0.08639308855291576,20,33.69796892121906,1.0000000159618336,0.151,0.6954,0.20000000000000004,0.5999999999999999
