config,world,seed,dynamic_seed,samples,horizon,prediction_horizon_s,uncertainty_rate_mps,result,success,time_s,path_len_m,min_clear_m,stall_s,wall_time_s,controller_hz,mode_switches,omega_sign_flips,branch_selection_fraction,mean_ess,min_ess,ess_guard_cycles,mean_path_error_m,max_path_error_m
current,4,0,65000,1024,56,2.0,0.03,collision,0,3.9,1.13,-0.011,0.55,10.88,7.169,2,2,0.14102564102564102,86.90782279558206,1.0385774390710842,28,0.0276,0.0529
predicted,4,0,65000,1024,56,2.0,0.03,success,1,33.0,10.45,0.05,7.55,97.4,6.776,11,28,0.3803030303030303,20.953948348775203,1.0,502,0.1699,0.7969
current,4,1,65001,1024,56,2.0,0.03,collision,0,8.7,1.43,-0.001,3.2,24.803,7.015,6,4,0.3505747126436782,80.77339380924667,1.075030399411808,74,0.12,0.2996
predicted,4,1,65001,1024,56,2.0,0.03,success,1,39.55,9.75,0.046,11.95,114.465,6.91,13,44,0.12895069532237674,45.21055604294945,1.0,528,0.1129,0.5126
current,42,0,103000,1024,56,2.0,0.03,success,1,20.5,9.14,0.037,0.05,59.645,6.874,12,19,0.3024390243902439,35.47797283904928,1.000062212408127,235,0.3358,0.9315
predicted,42,0,103000,1024,56,2.0,0.03,success,1,21.45,9.44,0.167,0.05,63.765,6.728,12,11,0.2680652680652681,33.26805130238967,1.0,247,0.3306,0.9985
current,42,1,103001,1024,56,2.0,0.03,success,1,21.95,9.45,0.091,0.05,60.636,7.24,7,47,0.14578587699316628,80.3672627651573,1.000003744925571,131,0.2071,1.0141
predicted,42,1,103001,1024,56,2.0,0.03,success,1,26.4,8.88,0.157,2.8,73.486,7.185,5,41,0.030303030303030304,85.83309417122113,1.0428845475832589,130,0.044,0.2501
current,48,0,109000,1024,56,2.0,0.03,success,1,23.5,9.56,0.083,0.05,64.916,7.24,10,24,0.25957446808510637,56.71669658416125,1.0000052370897892,281,0.1682,0.8606
predicted,48,0,109000,1024,56,2.0,0.03,success,1,23.6,9.65,0.107,0.05,64.939,7.268,8,14,0.2627118644067797,54.763212881256955,1.0000016796017617,272,0.1865,0.9694
current,48,1,109001,1024,56,2.0,0.03,success,1,19.85,8.83,0.039,0.05,52.015,7.632,0,18,0.0,41.09755756065754,1.0319957202100127,215,0.0931,0.311
predicted,48,1,109001,1024,56,2.0,0.03,success,1,30.3,9.32,0.106,2.75,76.723,7.899,2,23,0.0165016501650165,82.29244078383513,1.0046588513231927,269,0.1004,0.279
current,49,0,110000,1024,56,2.0,0.03,success,1,21.7,9.47,0.051,0.05,56.09,7.738,4,15,0.07834101382488479,36.53082032171345,1.0013738652617548,247,0.1254,0.351
predicted,49,0,110000,1024,56,2.0,0.03,success,1,21.7,9.5,0.115,0.05,56.359,7.701,2,11,0.08294930875576037,36.42949665624099,1.1101304021434981,248,0.152,0.5644
current,49,1,110001,1024,56,2.0,0.03,success,1,22.65,9.93,0.044,0.05,58.898,7.691,3,13,0.05739514348785872,39.66693734201919,1.0327729901499811,261,0.1568,0.6631
