scenario,config,world,seed,result,success,time_s,path_len_m,min_clear_m,stall_s,omega_sign_flips,mode_switches,branch_selection_fraction,unique_branch_ids,mean_ess,min_ess,mean_path_error_m,max_path_error_m
normal,ideal,4,0,success,1,21.1,9.31,0.098,0.05,7,0,0.0,10,89.4668292011192,1.0175448771367435,0.0914,0.3691
normal,slip,4,0,success,1,23.1,9.26,0.115,0.2,11,0,0.0,8,102.32296470866315,1.0035623864917944,0.0464,0.2124
normal,ideal,4,1,success,1,21.15,9.27,0.1,0.05,11,0,0.0,11,87.6213206098489,1.0067600363175055,0.0784,0.2741
normal,slip,4,1,success,1,22.1,9.28,0.115,0.35,8,0,0.0,7,109.80643908374674,1.003735421918198,0.0458,0.2156
normal,ideal,48,0,success,1,20.0,8.74,0.085,0.05,13,0,0.0,12,89.40682868445936,1.0037630517027196,0.0422,0.1559
normal,slip,48,0,success,1,20.0,8.72,0.107,0.1,16,0,0.0,7,108.54818518082513,1.0027095600847953,0.0255,0.0657
normal,ideal,48,1,success,1,19.85,8.74,0.1,0.05,10,0,0.0,11,89.34082287779255,1.057585080312629,0.047,0.1392
normal,slip,48,1,success,1,19.9,8.72,0.125,0.1,12,0,0.0,7,107.14116479262866,1.0303463537685007,0.0348,0.0998
normal,ideal,49,0,success,1,20.05,8.9,0.1,0.05,4,0,0.0,8,89.27270968447701,1.006155958167833,0.0567,0.1555
normal,slip,49,0,success,1,25.45,8.93,0.031,3.3,10,2,0.003929273084479371,10,85.15901010654947,1.0,0.0487,0.1351
normal,ideal,49,1,success,1,20.15,8.93,0.11,0.05,12,0,0.0,10,89.685344982626,1.008526920738048,0.0539,0.2187
normal,slip,49,1,collision,0,18.55,5.78,-0.0,4.35,18,0,0.0,11,110.47503343843061,1.0,0.0479,0.1175
blocked,ideal,4,0,success,1,22.3,9.71,0.098,0.05,9,6,0.5201793721973094,15,46.72377365754299,1.0,0.3791,1.1726
blocked,slip,4,0,success,1,28.25,9.51,0.102,3.15,18,9,0.39823008849557523,8,59.19240278879612,1.0000181238225048,0.3083,0.9684
blocked,ideal,4,1,success,1,22.75,9.82,0.098,0.05,15,6,0.5208791208791209,13,48.454292517048636,1.0000864979554758,0.388,1.1996
blocked,slip,4,1,success,1,28.0,9.57,0.1,1.9,10,5,0.5714285714285714,8,54.16106294389941,1.0000000031329188,0.3296,1.0174
blocked,ideal,48,0,success,1,29.0,10.43,0.1,0.6,16,6,0.7017241379310345,17,66.9434737254448,1.0000000000082867,0.3634,0.9899
blocked,slip,48,0,success,1,29.95,10.64,0.125,1.15,12,8,0.4340567612687813,13,75.33730890659041,1.0,0.3783,1.0031
blocked,ideal,48,1,success,1,28.1,10.43,0.095,0.05,8,8,0.6797153024911032,19,61.71224781166717,1.0,0.3487,1.0282
blocked,slip,48,1,success,1,36.8,11.5,0.115,2.45,8,13,0.5339673913043478,14,93.13499629486704,1.0,0.3289,0.9874
blocked,ideal,49,0,success,1,26.25,9.63,0.086,0.05,12,7,0.3904761904761905,9,67.34290080228148,1.0000000000065374,0.2311,0.7232
blocked,slip,49,0,success,1,28.5,9.57,0.085,3.65,12,11,0.5543859649122806,18,44.90549937443214,1.000000167096619,0.195,0.9019
blocked,ideal,49,1,success,1,26.4,9.64,0.076,0.05,16,12,0.48863636363636365,10,68.56475339805228,1.0000000070512796,0.2211,0.6482
blocked,slip,49,1,collision,0,18.85,3.74,-0.019,8.55,16,1,0.4297082228116711,11,55.49092794095276,1.0,0.0266,0.0482
dynamic,ideal,4,0,success,1,21.15,9.33,0.095,0.05,17,3,0.026004728132387706,15,31.792034227720023,1.0163915738692095,0.0958,0.3378
dynamic,slip,4,0,success,1,24.2,9.24,0.115,1.0,10,4,0.03512396694214876,13,36.249468385007845,1.002045954380746,0.047,0.1694
dynamic,ideal,4,1,success,1,33.7,11.71,0.009,2.05,15,10,0.19732937685459942,21,79.76305880883781,1.0,0.497,1.73
