scenario,config,world,seed,result,success,time_s,path_len_m,min_clear_m,stall_s,controller_mean_ms,controller_p95_ms,controller_max_ms,omega_sign_flips,mode_switches,branch_selection_fraction,unique_branch_ids,mean_ess,min_ess,mean_path_error_m,max_path_error_m
normal,ideal,4,0,success,1,21.1,9.31,0.099,0.05,144.367,198.662,341.775,7,0,0.0,10,89.4668292011192,1.0175448771367435,0.0914,0.3691
normal,slip,4,0,success,1,23.1,9.26,0.122,0.2,217.736,321.921,503.17,11,0,0.0,8,102.32296470866315,1.0035623864917944,0.0464,0.2124
normal,ideal,4,1,success,1,21.15,9.27,0.104,0.05,157.337,246.924,365.557,11,0,0.0,11,87.6213206098489,1.0067600363175055,0.0784,0.2741
normal,slip,4,1,success,1,22.1,9.28,0.118,0.35,218.34,346.214,479.308,8,0,0.0,7,109.80643908374674,1.003735421918198,0.0458,0.2156
normal,ideal,48,0,success,1,20.0,8.74,0.091,0.05,150.898,251.451,395.791,13,0,0.0,12,89.40682868445936,1.0037630517027196,0.0422,0.1559
normal,slip,48,0,success,1,20.0,8.72,0.12,0.1,333.344,442.441,555.944,16,0,0.0,7,108.54818518082513,1.0027095600847953,0.0255,0.0657
normal,ideal,48,1,success,1,19.85,8.74,0.106,0.05,144.428,220.709,381.101,10,0,0.0,11,89.34082287779255,1.057585080312629,0.047,0.1392
normal,slip,48,1,success,1,19.9,8.72,0.122,0.1,211.208,310.048,432.262,12,0,0.0,7,107.14116479262866,1.0303463537685007,0.0348,0.0998
normal,ideal,49,0,success,1,20.05,8.9,0.108,0.05,166.952,251.968,409.053,4,0,0.0,8,89.27270968447701,1.006155958167833,0.0567,0.1555
normal,slip,49,0,collision,0,20.2,5.79,-0.015,5.65,215.324,279.895,320.004,12,0,0.0,9,95.53914699400157,1.0,0.0529,0.1093
normal,ideal,49,1,success,1,20.15,8.93,0.106,0.05,159.237,226.618,335.02,12,0,0.0,10,89.685344982626,1.008526920738048,0.0539,0.2187
normal,slip,49,1,collision,0,19.1,5.76,-0.001,5.05,236.266,389.287,648.547,12,0,0.0,11,107.51371464749184,1.0,0.0477,0.1175
blocked,ideal,4,0,success,1,22.3,9.71,0.105,0.05,158.961,243.735,445.801,9,6,0.5201793721973094,15,46.72377365754299,1.0,0.3791,1.1726
blocked,slip,4,0,success,1,28.65,9.59,0.111,3.6,209.534,299.317,525.134,12,11,0.3769633507853403,10,62.74545989169277,1.0,0.321,1.0258
blocked,ideal,4,1,success,1,22.75,9.82,0.102,0.05,142.415,203.996,423.701,15,6,0.5208791208791209,13,48.454292517048636,1.0000864979554758,0.388,1.1996
blocked,slip,4,1,success,1,31.45,9.81,0.031,3.85,202.953,296.983,433.167,10,9,0.3815580286168522,10,61.19875664399371,1.0,0.3059,1.0466
blocked,ideal,48,0,success,1,29.0,10.43,0.104,0.6,149.658,235.987,329.726,16,6,0.7017241379310345,17,66.9434737254448,1.0000000000082867,0.3634,0.9899
blocked,slip,48,0,success,1,29.95,10.63,0.099,1.2,348.728,445.654,548.413,10,8,0.43906510851419034,14,75.47584525088955,1.0,0.38,1.0237
blocked,ideal,48,1,success,1,28.1,10.43,0.101,0.05,147.804,215.573,368.112,8,8,0.6797153024911032,19,61.71224781166717,1.0,0.3487,1.0282
