scenario,config,world,seed,plant_mismatch,plant_yaw_gain,plant_speed_yaw_loss,result,success,time_s,path_len_m,min_clear_m,stall_s,controller_mean_ms,controller_p95_ms,controller_max_ms,omega_sign_flips,mode_switches,branch_selection_fraction,unique_branch_ids,mean_ess,min_ess,mean_path_error_m,max_path_error_m
normal,slip,4,0,0.3,0.7895237021639441,0.6554933398016336,success,1,22.2,9.22,0.112,0.7,237.308,368.328,488.194,12,0,0.0,7,104.84106577672596,1.0011005189509656,0.0364,0.1525
normal,slip,4,1,0.3,0.7345836764255003,0.5911163088610499,success,1,22.3,9.31,0.117,0.05,209.349,268.956,477.98,11,0,0.0,6,107.73411691000236,1.0065903085120944,0.0526,0.2734
normal,slip,48,0,0.3,0.7660238151361315,0.5140252019248239,success,1,19.85,8.72,0.122,0.1,371.999,453.803,575.745,12,0,0.0,7,108.94443872252705,1.0017023402358785,0.0328,0.0903
normal,slip,48,1,0.3,1.0041698413307039,0.43343217027089376,success,1,19.9,8.72,0.117,0.05,209.537,285.829,504.559,18,0,0.0,7,111.20494417263565,1.0000900898966032,0.0387,0.1195
normal,slip,49,0,0.3,0.5944691121093583,0.6322482390463914,success,1,23.8,8.96,0.107,1.2,224.168,392.353,510.695,8,2,0.0021008403361344537,11,88.92418748716766,1.0009025605769346,0.0483,0.1492
normal,slip,49,1,0.3,1.0253050890389008,0.4911156282014365,success,1,24.7,8.9,0.042,3.4,237.033,369.137,561.623,14,4,0.04048582995951417,11,82.73689347188608,1.0,0.048,0.1442
blocked,slip,4,0,0.3,0.7895237021639441,0.6554933398016336,success,1,28.95,9.54,0.12,3.8,263.807,415.277,479.548,12,11,0.36787564766839376,9,61.761279777440535,1.0,0.3082,0.9867
blocked,slip,4,1,0.3,0.7345836764255003,0.5911163088610499,success,1,31.55,9.87,0.073,4.7,211.242,301.906,460.346,14,11,0.4500792393026941,10,53.913771803173034,1.0,0.3338,1.0697
blocked,slip,48,0,0.3,0.7660238151361315,0.5140252019248239,success,1,30.15,10.48,0.122,1.7,215.393,296.781,491.89,14,10,0.5339966832504146,13,74.60984159002861,1.0,0.376,0.9481
blocked,slip,48,1,0.3,1.0041698413307039,0.43343217027089376,success,1,31.5,10.56,0.119,1.3,221.662,318.675,469.85,14,8,0.42698412698412697,14,71.08201165398816,1.0,0.4148,1.0214
blocked,slip,49,0,0.3,0.5944691121093583,0.6322482390463914,success,1,39.8,9.85,0.012,10.4,221.219,333.988,557.718,20,8,0.3542713567839196,18,70.14065247504185,1.0,0.1844,0.907
blocked,slip,49,1,0.3,1.0253050890389008,0.4911156282014365,success,1,33.45,9.61,0.019,7.65,224.416,365.725,540.167,20,8,0.4514200298953662,19,64.38330513262004,1.0000000001052958,0.1724,0.8035
dynamic,slip,4,0,0.3,0.7895237021639441,0.6554933398016336,success,1,23.5,9.32,0.114,0.25,387.807,483.923,643.421,8,4,0.15319148936170213,15,31.40370398641315,1.0000672688017382,0.0586,0.2096
dynamic,slip,4,1,0.3,0.7345836764255003,0.5911163088610499,collision,0,9.6,3.51,-0.002,0.3,440.187,656.446,832.947,2,7,0.3697916666666667,13,42.34327980953443,1.0,0.2468,0.6897
dynamic,slip,48,0,0.3,0.7660238151361315,0.5140252019248239,collision,0,5.0,1.93,-0.001,0.05,660.7,746.093,807.119,2,0,0.0,13,15.589682089838709,1.0009267094062622,0.1501,0.2191
dynamic,slip,48,1,0.3,1.0041698413307039,0.43343217027089376,collision,0,4.05,1.33,-0.002,0.05,401.344,475.106,631.849,1,0,0.0,8,100.54351173570743,1.0,0.0209,0.0374
dynamic,slip,49,0,0.3,0.5944691121093583,0.6322482390463914,success,1,27.75,9.88,0.111,1.15,360.068,429.627,756.222,8,9,0.372972972972973,22,46.7725489241359,1.0000002188781636,0.2162,0.9916
dynamic,slip,49,1,0.3,1.0253050890389008,0.4911156282014365,success,1,44.75,11.32,0.039,8.1,334.791,424.614,767.9,25,16,0.33743016759776534,17,46.98345990779807,1.0000000000982632,0.1886,0.8688
dynamic_blocked,slip,4,0,0.3,0.7895237021639441,0.6554933398016336,success,1,32.55,9.84,0.033,4.35,381.91,696.087,876.075,10,11,0.35176651305683565,19,39.4345013284446,1.0,0.4185,1.0092
dynamic_blocked,slip,4,1,0.3,0.7345836764255003,0.5911163088610499,collision,0,16.6,3.51,-0.01,2.85,395.283,594.896,734.51,3,8,0.6385542168674698,21,62.350765245660796,1.0000013027005001,0.3518,1.0064
dynamic_blocked,slip,48,0,0.3,0.7660238151361315,0.5140252019248239,collision,0,5.0,2.02,-0.003,0.1,390.74,437.215,663.565,4,3,0.13,9,47.390361550066686,1.0,0.1526,0.6167
dynamic_blocked,slip,48,1,0.3,1.0041698413307039,0.43343217027089376,collision,0,6.2,2.21,-0.02,0.45,457.852,671.954,720.451,4,3,0.9435483870967742,12,65.7962407361071,1.0,0.0432,0.1515
dynamic_blocked,slip,49,0,0.3,0.5944691121093583,0.6322482390463914,success,1,36.05,10.49,0.114,3.95,319.066,392.882,653.343,9,14,0.5963938973647711,25,74.9256555940954,1.000000000021723,0.4763,1.4133
dynamic_blocked,slip,49,1,0.3,1.0253050890389008,0.4911156282014365,success,1,36.1,10.3,0.024,2.95,315.996,385.892,713.82,16,14,0.3268698060941828,25,79.04763264166864,1.0,0.3471,1.072
