scenario,config,world,seed,plant_mismatch,draw,plant_yaw_gain,plant_speed_yaw_loss,result,success,time_s,path_len_m,min_clear_m,stall_s,controller_mean_ms,controller_p95_ms,controller_max_ms,omega_sign_flips,mode_switches,branch_selection_fraction,unique_branch_ids,mean_ess,min_ess,mean_path_error_m,max_path_error_m
normal,slip,4,0,0.3,0,0.6936923674807876,0.5108603712901117,success,1,22.4,9.24,0.121,0.2,363.817,490.076,633.296,10,0,0.0,9,107.57341421622084,1.0129577280464306,0.0429,0.1782
normal,slip,4,0,0.3,1,1.063745360535613,0.5168867858697214,success,1,22.7,9.2,0.112,0.6,333.117,471.572,518.172,16,0,0.0,7,103.92447230952979,1.0015334224136532,0.033,0.1178
normal,slip,4,0,0.3,2,0.8311778472797038,0.5404689431500065,success,1,22.5,9.21,0.115,0.3,272.283,441.582,563.319,8,0,0.0,7,106.92165846789543,1.0038838788689948,0.0366,0.1432
normal,slip,4,0,0.3,3,0.7431871027199279,0.5962666730087158,success,1,21.7,9.28,0.115,0.05,416.048,496.961,602.363,4,0,0.0,7,111.59853693669527,1.0076468045051894,0.049,0.2487
normal,slip,4,0,0.3,4,0.6046056467266381,0.4803843316097797,success,1,22.3,9.25,0.118,0.2,243.7,391.679,513.058,8,0,0.0,8,105.13464724005031,1.021385228536942,0.0449,0.2132
normal,slip,4,0,0.3,5,0.9567675249061701,0.6478083983163907,success,1,22.25,9.2,0.116,0.05,325.236,456.852,523.877,12,0,0.0,7,109.39340037474311,1.0441795313829652,0.0339,0.1256
normal,slip,4,0,0.3,6,0.8189207312787303,0.4452301527722202,success,1,22.55,9.26,0.112,0.15,244.097,413.307,610.297,11,0,0.0,7,107.20902144065916,1.0124877229695877,0.0456,0.2022
normal,slip,4,0,0.3,7,1.008090037578636,0.451695755106654,success,1,22.45,9.2,0.11,0.4,249.414,396.311,551.013,14,0,0.0,7,107.72465447955416,1.0010704786350388,0.0313,0.1369
normal,slip,4,1,0.3,0,0.707532856302214,0.6678060455012056,success,1,23.7,9.34,0.116,0.1,231.581,359.516,463.032,12,0,0.0,8,101.66956853669087,1.0128573944932646,0.0586,0.2763
normal,slip,4,1,0.3,1,0.600858846293649,0.3944773461466671,success,1,23.2,9.37,0.113,0.05,271.293,420.216,556.972,6,0,0.0,7,103.13029145734721,1.0118230162233068,0.064,0.3056
