scenario,config,seed,result,success,peer_collision,static_collision,time_s,path_length_m,minimum_peer_clearance_m,minimum_static_clearance_m,stall_time_s,final_goal_distance_m,assist_fraction,branch_fraction,mode_switches,wall_time_s,controller_hz
head_on,vanilla,0,success,1,0,0,20.35,6.6088,1.1148,0.1161,0.0,0.3421,0.0,0.0,0,4.203,96.83
head_on,path,0,timeout,0,0,0,40.0,6.8019,0.1166,0.1,2.0,4.3996,0.0,0.0,0,59.353,13.479
head_on,amoeba,0,success,1,0,0,37.1,8.3353,0.7166,0.1507,6.15,0.3433,0.9757412398921833,0.6509433962264151,8,78.082,9.503
head_on,vanilla,1,success,1,0,0,20.05,6.5804,1.1124,0.11,0.0,0.3482,0.0,0.0,0,4.319,92.851
head_on,path,1,timeout,0,0,0,40.0,6.1849,0.1456,0.1,5.05,4.1986,0.0,0.0,0,58.961,13.568
head_on,amoeba,1,success,1,0,0,36.95,8.2967,0.7087,0.125,5.85,0.3408,0.9756427604871448,0.6468200270635994,10,77.691,9.512
head_on,vanilla,2,success,1,0,0,20.15,6.6036,1.1381,0.1161,0.0,0.3414,0.0,0.0,0,3.563,113.103
head_on,path,2,static_collision,0,0,1,28.55,4.2041,0.0444,-0.025,7.45,3.8386,0.0,0.0,0,45.665,12.504
head_on,amoeba,2,success,1,0,0,35.25,8.2545,0.7165,0.1366,6.1,0.3445,0.9744680851063829,0.6950354609929078,4,74.649,9.444
head_on,vanilla,3,success,1,0,0,20.45,6.6844,1.0859,0.1123,0.0,0.3436,0.0,0.0,0,4.078,100.286
head_on,path,3,success,1,0,0,28.75,7.4683,0.7981,0.107,0.0,0.3453,0.0,0.0,0,41.73,13.779
head_on,amoeba,3,timeout,0,0,0,40.0,4.003,0.7155,0.1596,17.5,4.7545,0.9775,0.4475,4,83.027,9.635
head_on,vanilla,4,success,1,0,0,20.2,6.5811,1.1082,0.1161,0.0,0.3477,0.0,0.0,0,3.229,125.113
head_on,path,4,static_collision,0,0,1,25.95,3.8137,0.0185,-0.025,7.45,3.812,0.0,0.0,0,40.377,12.854
head_on,amoeba,4,success,1,0,0,35.85,8.3797,0.7258,0.125,6.85,0.3431,0.9748953974895398,0.6750348675034867,4,74.323,9.647
