scenario,config,seed,result,success,peer_collision,static_collision,time_s,path_length_m,minimum_peer_clearance_m,minimum_static_clearance_m,stall_time_s,final_goal_distance_m,assist_fraction,branch_fraction,mode_switches,wall_time_s,controller_hz
crossing,vanilla,0,success,1,0,0,17.7,6.0684,0.3424,0.35,0.0,0.3431,0.0,0.0,0,3.133,112.98
crossing,path,0,success,1,0,0,17.85,6.0546,0.3557,0.425,0.0,0.3484,0.0,0.0,0,25.799,13.838
crossing,amoeba,0,success,1,0,0,16.45,6.1284,0.1918,0.2942,0.1,0.3425,0.16717325227963525,0.0486322188449848,4,32.479,10.13
crossing,vanilla,1,success,1,0,0,17.7,6.0615,0.373,0.4,0.0,0.3476,0.0,0.0,0,3.156,112.183
crossing,path,1,success,1,0,0,17.9,6.065,0.3749,0.4,0.0,0.3418,0.0,0.0,0,26.108,13.712
crossing,amoeba,1,success,1,0,0,16.35,6.1429,0.1796,0.264,0.7,0.3469,0.1743119266055046,0.039755351681957186,2,32.59,10.034
crossing,vanilla,2,success,1,0,0,17.7,6.0683,0.3822,0.35,0.0,0.3479,0.0,0.0,0,3.281,107.909
crossing,path,2,success,1,0,0,17.85,6.0543,0.381,0.425,0.0,0.35,0.0,0.0,0,25.815,13.829
crossing,amoeba,2,success,1,0,0,15.5,6.0954,0.1823,0.3329,0.05,0.3385,0.15161290322580645,0.08387096774193549,3,29.742,10.423
crossing,vanilla,3,success,1,0,0,17.75,6.0929,0.403,0.25,0.0,0.3454,0.0,0.0,0,3.238,109.641
crossing,path,3,success,1,0,0,17.9,6.0613,0.3506,0.425,0.0,0.3412,0.0,0.0,0,24.82,14.424
crossing,amoeba,3,success,1,0,0,16.35,6.2153,0.1558,0.1924,0.25,0.3426,0.14678899082568808,0.04281345565749235,2,30.645,10.67
crossing,vanilla,4,success,1,0,0,17.7,6.0639,0.3509,0.4,0.0,0.3401,0.0,0.0,0,2.871,123.318
crossing,path,4,success,1,0,0,17.9,6.0567,0.3639,0.425,0.0,0.3473,0.0,0.0,0,24.486,14.62
crossing,amoeba,4,success,1,0,0,16.9,6.1551,0.1461,0.246,0.9,0.3345,0.19822485207100593,0.0621301775147929,4,31.274,10.808
head_on,vanilla,0,static_collision,0,0,1,12.4,4.2114,0.0368,-0.0,0.15,6.8715,0.0,0.0,0,1.987,124.824
head_on,path,0,peer_collision,0,1,0,12.6,4.1574,-0.0073,0.0,0.35,6.8973,0.0,0.0,0,17.128,14.712
head_on,amoeba,0,peer_collision,0,1,0,12.45,4.604,-0.0002,0.025,0.55,6.8898,1.0,0.46184738955823296,4,22.379,11.127
head_on,vanilla,1,peer_collision,0,1,0,12.55,4.2335,-0.0098,0.0,0.3,6.8792,0.0,0.0,0,2.047,122.624
head_on,path,1,peer_collision,0,1,0,12.55,4.12,-0.0088,0.025,0.4,6.8952,0.0,0.0,0,16.947,14.811
head_on,amoeba,1,peer_collision,0,1,0,12.55,4.7383,-0.003,-0.0,0.5,6.893,1.0,0.4900398406374502,4,22.353,11.229
head_on,vanilla,2,static_collision,0,0,1,12.55,4.2747,0.0094,-0.025,0.25,6.886,0.0,0.0,0,2.006,125.145
head_on,path,2,peer_collision,0,1,0,12.6,4.1853,-0.0014,0.0,0.5,6.8957,0.0,0.0,0,17.219,14.635
head_on,amoeba,2,peer_collision,0,1,0,7.15,2.0871,-0.018,0.4,1.2,4.3543,1.0,0.8671328671328671,5,13.574,10.535
head_on,vanilla,3,static_collision,0,0,1,12.6,4.3634,0.0056,-0.025,0.15,6.9048,0.0,0.0,0,1.992,126.516
head_on,path,3,static_collision,0,0,1,12.55,4.1797,0.0084,-0.025,0.35,6.8896,0.0,0.0,0,16.882,14.868
head_on,amoeba,3,static_collision,0,0,1,12.4,4.7237,0.0405,-0.0,0.1,6.878,1.0,0.31451612903225806,3,22.047,11.249
head_on,vanilla,4,static_collision,0,0,1,12.4,4.1949,0.0208,-0.0,0.2,6.8528,0.0,0.0,0,1.979,125.316
head_on,path,4,static_collision,0,0,1,12.3,4.0675,0.0099,-0.025,0.25,6.7628,0.0,0.0,0,16.443,14.961
head_on,amoeba,4,static_collision,0,0,1,12.45,4.7462,0.018,-0.0,0.25,6.8702,1.0,0.2248995983935743,5,22.294,11.169
merge,vanilla,0,success,1,0,0,17.7,6.0655,0.4919,0.35,0.0,0.3453,0.0,0.0,0,2.834,124.894
merge,path,0,success,1,0,0,17.9,6.0563,0.535,0.425,0.0,0.3472,0.0,0.0,0,24.108,14.85
merge,amoeba,0,success,1,0,0,19.6,6.997,0.3316,0.0953,0.6,0.3365,0.40816326530612246,0.10204081632653061,6,35.176,11.144
merge,vanilla,1,success,1,0,0,17.75,6.0687,0.502,0.375,0.0,0.342,0.0,0.0,0,2.812,126.261
merge,path,1,success,1,0,0,17.9,6.0613,0.5337,0.4,0.0,0.3449,0.0,0.0,0,23.971,14.934
merge,amoeba,1,success,1,0,0,15.9,6.1916,0.247,0.2815,0.05,0.3388,0.4968553459119497,0.11006289308176101,2,28.461,11.173
