scenario,config,homotopy_w,world,seed,result,success,time_s,path_len_m,min_clear_m,stall_s,controller_mean_ms,controller_p95_ms,controller_max_ms,omega_sign_flips,mode_switches,assist_fraction,branch_selection_fraction,mean_ess,min_ess,mean_path_error_m,max_path_error_m,guided_violating_fraction,guided_mean_violation,near_obstacle_violating_fraction,near_obstacle_cycle_fraction,selected_wrong_side_mass,mean_planes,own_drift_fraction,collapsed_pair_fraction,guided_mode_cycles,guided_pairs
blocked,off,0.0,4,0,success,1,22.3,9.71,0.105,0.05,123.334,164.612,188.352,9,6,1.0,0.5201793721973094,46.72377365754299,1.0,0.3791,1.1726,0.0001801215277777778,1.1356110556289681e-05,0.0004890177224736048,0.36833333333333335,0.0022252107413302546,1.84,0.0016666666666666668,1.0,600,68
blocked,on,20.0,4,0,success,1,22.45,9.75,0.106,0.05,124.866,163.75,323.264,9,6,1.0,0.5167037861915368,46.78491618182281,1.0,0.3877,1.1897,0.00012473739495798318,9.08032101751867e-06,0.0003436053240740741,0.3630252100840336,0.0018014208329106853,1.8436974789915965,0.0016806722689075631,1.0,595,63
blocked,off,0.0,4,1,success,1,22.75,9.82,0.102,0.05,125.707,168.541,235.553,15,6,1.0,0.5208791208791209,48.454292517048636,1.0000864979554758,0.388,1.1996,0.0002126297699214366,2.075650320005406e-05,0.0005767218417047184,0.3686868686868687,7.140713435894712e-05,1.898989898989899,0.0016835016835016834,0.9672131147540983,594,61
blocked,on,20.0,4,1,success,1,22.85,9.8,0.106,0.05,126.644,170.428,303.857,14,6,1.0,0.5251641137855579,49.40687652382362,1.0,0.3892,1.2,9.46969696969697e-05,9.39842041997498e-06,0.00024909420289855066,0.38016528925619836,2.2503604046272377e-10,1.7917355371900827,0.0,0.9402985074626866,605,67
blocked,off,0.0,48,0,success,1,29.0,10.43,0.104,0.6,129.397,166.185,238.922,16,6,1.0,0.7017241379310345,66.9434737254448,1.0000000000082867,0.3634,0.9899,3.0351592851592848e-05,2.1791010782419557e-06,5.282285327924273e-05,0.5745920745920746,1.3693921246785283e-69,3.4545454545454546,0.0,1.0,858,213
blocked,on,20.0,48,0,success,1,29.0,10.43,0.104,0.6,128.75,163.255,183.423,16,6,1.0,0.7017241379310345,66.9434737254448,1.0000000000082867,0.3634,0.9899,3.0351592851592848e-05,2.1791010782419557e-06,5.282285327924273e-05,0.5745920745920746,1.0372910146672527e-69,3.4545454545454546,0.0,1.0,858,213
blocked,off,0.0,48,1,success,1,28.1,10.43,0.101,0.05,132.877,175.492,241.817,8,8,1.0,0.6797153024911032,61.71224781166717,1.0,0.3487,1.0282,7.778275587415372e-06,2.557046571597202e-07,1.3451274104683194e-05,0.5782556750298686,1.5154259684493378e-53,3.4205495818399045,0.0,1.0,837,211
blocked,on,20.0,48,1,success,1,28.1,10.43,0.101,0.05,133.175,176.831,200.321,8,8,1.0,0.6797153024911032,61.71224781166717,1.0,0.3487,1.0282,7.778275587415372e-06,2.557046571597202e-07,1.3451274104683194e-05,0.5782556750298686,1.353709469681609e-53,3.4205495818399045,0.0,1.0,837,211
blocked,off,0.0,49,0,success,1,26.25,9.63,0.092,0.05,137.418,183.081,260.688,12,7,1.0,0.3904761904761905,67.34290080228148,1.0000000000065374,0.2311,0.7232,0.0004279574592074592,4.685466264038385e-05,0.0007104235765616362,0.6023976023976024,3.312610345810323e-26,2.177822177822178,0.0,0.9800399201596807,1001,501
blocked,on,20.0,49,0,success,1,26.25,9.63,0.092,0.05,136.95,181.251,253.042,12,7,1.0,0.3904761904761905,67.34290002211003,1.0000000000065374,0.2311,0.7232,0.0004279574592074592,4.68546622341375e-05,0.0007104235765616362,0.6023976023976024,5.123734789241856e-31,2.177822177822178,0.0,0.9800399201596807,1001,501
blocked,off,0.0,49,1,success,1,26.4,9.64,0.082,0.05,131.652,179.637,255.924,16,12,1.0,0.48863636363636365,68.56475339805228,1.0000000070512796,0.2211,0.6482,4.4435108583247154e-05,2.2390437600397534e-06,7.538377192982457e-05,0.5894519131334023,0.0,2.2109617373319543,0.0,0.9848812095032398,967,463
blocked,on,20.0,49,1,success,1,26.4,9.64,0.082,0.05,130.946,179.692,201.685,16,12,1.0,0.48863636363636365,68.56475339805228,1.0000000070512796,0.2211,0.6482,4.4435108583247154e-05,2.2390437600397534e-06,7.538377192982457e-05,0.5894519131334023,0.0,2.2109617373319543,0.0,0.9848812095032398,967,463
