scenario,config,world,seed,result,success,time_s,path_len_m,min_clear_m,stall_s,controller_mean_ms,controller_p95_ms,controller_max_ms,omega_sign_flips,mode_switches,assist_fraction,branch_selection_fraction,mean_ess,mean_path_error_m,max_path_error_m,reference_separation_fraction,reference_pairs,mean_reference_length_m,centreline_coverage,feasible_branch_fraction,mean_guided_modes,update_collapsed_fraction,own_drift_fraction,mean_free_energy_gap
blocked,shaped,4,0,success,1,22.3,9.71,0.105,0.05,135.298,175.242,295.918,9,6,1.0,0.5201793721973094,46.72377365754299,0.3791,1.1726,0.0,68,0.6229193153845292,0.26088794854792197,0.96,1.345291479820628,1.0,0.0016666666666666668,1.15469538800455
blocked,floor50,4,0,success,1,22.05,9.72,0.103,0.05,138.939,194.149,248.522,8,9,1.0,0.63718820861678,46.775787241160536,0.3898,1.1647,0.0,67,0.798627876209354,0.33631201349477036,0.9278688524590164,1.2834467120181405,1.0,0.0035335689045936395,2.245962863726383
blocked,nominal,4,0,success,1,22.1,9.67,0.109,0.05,134.894,178.246,294.804,8,6,1.0,0.5294117647058824,61.02497425954868,0.3673,1.1366,0.1111111111111111,90,1.3717841493663803,0.5711991454673612,0.714516129032258,1.002262443438914,0.9222222222222223,0.04740406320541761,3.491407189736867
blocked,shaped,4,1,success,1,22.75,9.82,0.102,0.05,134.425,177.443,236.882,15,6,1.0,0.5208791208791209,48.454292517048636,0.388,1.1996,0.0,61,0.6142237651204124,0.2570711422893926,0.9428571428571428,1.3054945054945055,0.9672131147540983,0.0016835016835016834,0.9695941135720301
blocked,floor50,4,1,success,1,22.8,9.83,0.099,0.05,135.902,184.212,280.439,12,6,1.0,0.6535087719298246,44.53531250381267,0.3859,1.1946,0.0,83,0.7629473730821027,0.3199141326300042,0.9492063492063492,1.3114035087719298,0.7108433734939759,0.005016722408026756,2.2578409629938534
blocked,nominal,4,1,success,1,22.2,9.76,0.102,0.05,137.128,187.741,314.805,8,5,1.0,0.5157657657657657,69.15664449317906,0.3786,1.1862,0.10227272727272728,88,1.3719149480608632,0.572381792031785,0.7223140495867768,0.9842342342342343,0.9431818181818182,0.043478260869565216,3.4067755942600897
blocked,shaped,48,0,success,1,29.0,10.43,0.104,0.6,137.51,192.311,331.139,16,6,1.0,0.7017241379310345,66.9434737254448,0.3634,0.9899,0.0,213,0.4999487550513208,0.20602940247559723,0.8330097087378641,1.4793103448275862,1.0,0.0,1.281194742944578
blocked,floor50,48,0,success,1,26.9,10.43,0.104,0.05,139.178,190.481,348.075,13,9,1.0,0.5892193308550185,49.72275330403938,0.3505,1.0491,0.0,227,0.689116537768136,0.2761558955224985,0.8989130434782608,1.537174721189591,0.8810572687224669,0.0,1.7572840204895657
blocked,nominal,48,0,timeout,0,60.0,10.57,0.135,3.7,140.648,184.508,297.173,7,16,1.0,0.2733333333333333,141.57597912033665,0.1923,0.5067,0.4241645244215938,389,1.3378844120139384,0.35692163620046674,0.456353591160221,1.0325,0.7326478149100257,0.025020177562550445,1.3190958504071373
blocked,shaped,48,1,success,1,28.1,10.43,0.101,0.05,135.865,186.989,277.297,8,8,1.0,0.6797153024911032,61.71224781166717,0.3487,1.0282,0.0,211,0.5034081848890454,0.20834644504660296,0.8412060301507538,1.48932384341637,1.0,0.0,0.9796475946639
blocked,floor50,48,1,success,1,27.8,10.57,0.107,0.05,142.61,227.789,349.34,8,14,1.0,0.5953237410071942,52.38355994461464,0.3639,1.0367,0.0,242,0.6685323133378444,0.2677458195964886,0.8973544973544973,1.525179856115108,0.9132231404958677,0.0,1.5675308351238202
blocked,nominal,48,1,timeout,0,60.0,10.91,0.137,3.95,142.394,194.443,389.561,6,20,1.0,0.31916666666666665,132.15964765298276,0.1976,0.4492,0.5582417582417583,455,1.340427143313597,0.3561376242084199,0.46273062730627307,1.045,0.6197802197802198,0.0342902711323764,1.4029971438973499
blocked,shaped,49,0,success,1,26.25,9.63,0.092,0.05,143.552,195.841,351.602,12,7,1.0,0.3904761904761905,67.34290080228148,0.2311,0.7232,0.0,501,0.4733074964440288,0.1965028332755667,0.9018018018018018,1.9066666666666667,0.9800399201596807,0.0,0.4307579202960134
blocked,floor50,49,0,success,1,24.85,9.76,0.104,0.05,142.268,228.738,325.638,11,12,1.0,0.6317907444668008,57.56628755140651,0.2561,0.8894,0.0,478,0.6684344312369083,0.2771338182313343,0.9131707317073171,1.8832997987927564,0.9623430962343096,0.003205128205128205,0.3720544187444106
blocked,nominal,49,0,success,1,22.3,9.45,0.102,0.05,134.461,182.2,278.044,8,8,1.0,0.5358744394618834,67.05539849545868,0.2082,0.7119,0.40875912408759124,137,1.3714333375665937,0.57119776401297,0.5738636363636364,1.1322869955156951,0.9051094890510949,0.11683168316831684,1.5906003344598367
blocked,shaped,49,1,success,1,26.4,9.64,0.082,0.05,139.916,184.151,283.543,16,12,1.0,0.48863636363636365,68.56475339805228,0.2211,0.6482,0.0,463,0.46004335506382465,0.19217209143104502,0.8751131221719457,1.831439393939394,0.9848812095032398,0.0,0.4826780212276766
blocked,floor50,49,1,success,1,25.5,10.06,0.107,0.05,137.768,218.994,417.488,12,7,1.0,0.7313725490196078,58.541250133893186,0.2897,0.9856,0.0,526,0.653175115348616,0.27018532086736463,0.9327014218009478,1.9294117647058824,0.9334600760456274,0.008130081300813009,0.403928760529673
blocked,nominal,49,1,success,1,22.5,9.45,0.093,0.05,131.119,188.601,395.142,12,8,1.0,0.5133333333333333,64.76118963091301,0.214,0.6984,0.36507936507936506,126,1.3712664670015104,0.5710939400439983,0.5502824858757062,1.0822222222222222,0.8809523809523809,0.10882956878850103,1.5257691810090352
