scenario,config,world,seed,result,success,time_s,path_len_m,min_clear_m,stall_s,controller_mean_ms,controller_p95_ms,controller_max_ms,omega_sign_flips,mode_switches,assist_fraction,branch_selection_fraction,mean_ess,mean_path_error_m,max_path_error_m,reference_separation_fraction,reference_pairs,mean_reference_length_m,centreline_coverage,feasible_branch_fraction,mean_guided_modes,update_collapsed_fraction,own_drift_fraction,mean_free_energy_gap,reference_fallback_fraction
blocked,band20,4,0,success,1,22.25,9.7,0.103,0.05,123.868,166.03,240.632,9,6,1.0,0.701123595505618,43.979595673336,0.3739,1.178,0.0,125,0.7811664827180549,0.32756000503145044,0.9744,1.3685393258426966,0.84,0.014778325123152709,2.0680335609175726,0.0
blocked,nominal_fb,4,0,success,1,21.8,9.66,0.116,0.05,127.208,167.017,237.315,10,6,1.0,0.6536697247706422,52.31054508257177,0.3651,1.1502,0.04878048780487805,123,1.0947129667280437,0.45793946292800675,0.95,1.3073394495412844,0.975609756097561,0.031578947368421054,2.7819101110479596,0.235
blocked,band20,4,1,success,1,23.9,9.93,0.101,0.25,125.558,168.11,228.332,9,9,1.0,0.6443514644351465,42.21489865758786,0.4161,1.2636,0.0,164,0.7185069113935137,0.3004112305082907,0.9824817518248176,1.4079497907949792,0.823170731707317,0.0029717682020802376,2.1545913689568006,0.0
blocked,nominal_fb,4,1,success,1,22.1,9.77,0.1,0.05,127.106,170.751,320.105,10,6,1.0,0.665158371040724,59.55309635370294,0.3802,1.1806,0.10084033613445378,119,1.0965480926011018,0.45849353768641016,0.95,1.2895927601809956,0.9663865546218487,0.02982456140350877,2.8306867631145964,0.23333333333333334
blocked,band20,48,0,success,1,27.05,10.62,0.111,0.1,128.259,167.095,226.011,17,8,1.0,0.5804066543438078,43.166787266317854,0.3701,1.056,0.0035971223021582736,278,0.7077661212731193,0.2849371352742324,0.9193548387096774,1.5804066543438078,0.9280575539568345,0.0,1.7859302779568829,0.0
blocked,nominal_fb,48,0,success,1,31.3,11.15,0.112,1.1,132.712,170.735,215.412,12,7,1.0,0.8099041533546326,63.51748894077627,0.3822,0.9962,0.12335958005249344,381,0.9615010541998484,0.3507970417578268,0.9124423963133641,1.5814696485623003,0.9396325459317585,0.006060606060606061,1.898562067254962,0.3529953917050691
blocked,band20,48,1,success,1,27.6,10.83,0.11,0.05,133.129,180.132,327.058,8,12,1.0,0.5597826086956522,44.64758852737485,0.3952,1.1086,0.0038022813688212928,263,0.6879530774161786,0.277997156607559,0.9127659574468086,1.5543478260869565,0.9429657794676806,0.0,1.1321783633230686,0.0
blocked,nominal_fb,48,1,success,1,31.1,11.07,0.107,1.1,134.078,181.038,273.233,15,7,1.0,0.8118971061093248,59.16079374273285,0.3703,0.9684,0.1640625,384,0.9518796984467028,0.34734774923796735,0.9218604651162791,1.5932475884244373,0.8567708333333334,0.012108980827447022,2.413731536487567,0.36465116279069765
blocked,band20,49,0,success,1,22.6,9.66,0.107,0.05,135.933,183.927,312.463,8,5,1.0,0.7632743362831859,47.684176099904846,0.2269,0.862,0.0,468,0.6855224785290971,0.2861865457981166,0.9541899441340782,1.8893805309734513,0.9166666666666666,0.00936768149882904,0.513506454256988,0.0
blocked,nominal_fb,49,0,success,1,22.5,9.71,0.105,0.05,140.15,187.966,420.245,10,7,1.0,0.6955555555555556,53.404007077153864,0.238,0.9128,0.3934782608695652,460,0.9403367972556638,0.3922645520199922,0.9438202247191011,1.8666666666666667,0.7869565217391304,0.05476190476190476,1.0914499946409815,0.35842696629213483
blocked,band20,49,1,success,1,22.95,9.63,0.096,0.05,133.064,181.797,246.069,12,4,1.0,0.7342047930283224,46.87598466932572,0.2209,0.807,0.0,483,0.6701176417617768,0.28106279626984687,0.946448087431694,1.8867102396514162,0.8964803312629399,0.009237875288683603,0.49785853449773443,0.0
blocked,nominal_fb,49,1,success,1,21.7,9.34,0.103,0.05,135.594,194.923,318.804,12,5,1.0,0.7373271889400922,49.92514292275854,0.2021,0.6696,0.2828282828282828,396,0.9084464865526763,0.38094720689954387,0.9341317365269461,1.7972350230414746,0.7373737373737373,0.041025641025641026,1.3897687968576578,0.37005988023952097
