scenario,config,seed,result,success,peer_collision,static_collision,time_s,path_length_m,minimum_peer_clearance_m,minimum_static_clearance_m,stall_time_s,final_goal_distance_m,assist_fraction,branch_fraction,mode_switches,wall_time_s,controller_hz
head_on,vanilla,0,static_collision,0,0,1,21.45,3.3035,0.0454,-0.0,6.85,3.9489,0.0,0.0,0,2.066,207.631
head_on,path,0,success,1,0,0,28.5,7.3673,0.8227,0.1,0.25,0.3411,0.0,0.0,0,22.173,25.707
head_on,amoeba,0,success,1,0,0,37.2,8.5049,0.7159,0.143,5.45,0.3355,0.9758064516129032,0.6290322580645161,6,47.619,15.624
head_on,vanilla,1,timeout,0,0,0,40.0,9.1159,0.1475,0.1,0.35,2.769,0.0,0.0,0,3.805,210.271
head_on,path,1,static_collision,0,0,1,23.8,3.863,0.0302,-0.025,5.3,3.8254,0.0,0.0,0,18.743,25.396
head_on,amoeba,1,success,1,0,0,35.9,8.1022,0.7298,0.0953,4.55,0.3497,0.9749303621169917,0.649025069637883,6,46.035,15.597
head_on,vanilla,2,success,1,0,0,20.45,6.6009,1.1024,0.1138,0.0,0.3459,0.0,0.0,0,1.716,238.341
head_on,path,2,success,1,0,0,27.85,7.252,0.9055,0.1,0.4,0.3451,0.0,0.0,0,22.394,24.873
head_on,amoeba,2,success,1,0,0,36.6,8.1921,0.7221,0.15,6.15,0.3419,0.9754098360655737,0.6612021857923497,6,47.756,15.328
head_on,vanilla,3,success,1,0,0,20.3,6.6273,1.1066,0.107,0.0,0.3482,0.0,0.0,0,2.228,182.252
head_on,path,3,success,1,0,0,28.3,7.4249,0.8103,0.1,0.05,0.3397,0.0,0.0,0,22.603,25.041
head_on,amoeba,3,success,1,0,0,38.1,8.4916,0.73,0.1,6.5,0.3483,0.9763779527559056,0.6614173228346457,8,46.704,16.316
head_on,vanilla,4,success,1,0,0,20.15,6.6133,1.139,0.11,0.0,0.3466,0.0,0.0,0,1.915,210.456
head_on,path,4,static_collision,0,0,1,24.0,3.814,0.0061,-0.025,5.8,3.798,0.0,0.0,0,19.116,25.109
head_on,amoeba,4,timeout,0,0,0,40.0,4.0175,0.7312,0.143,20.25,4.6524,0.9775,0.65625,16,47.96,16.681
