scenario,config,seed,result,success,peer_collision,static_collision,time_s,path_length_m,minimum_peer_clearance_m,minimum_static_clearance_m,stall_time_s,final_goal_distance_m,assist_fraction,branch_fraction,mode_switches,wall_time_s,controller_hz
head_on,vanilla,0,success,1,0,0,26.2,8.0484,0.1749,0.1138,0.0,0.3421,0.0,0.0,0,2.26,231.85
head_on,path,0,success,1,0,0,26.5,7.6807,0.1422,0.1031,0.5,0.345,0.0,0.0,0,18.871,28.085
head_on,amoeba,0,success,1,0,0,22.8,8.0706,0.2088,0.1,1.0,0.3375,0.48464912280701755,0.22149122807017543,4,26.26,17.364
head_on,vanilla,1,success,1,0,0,25.85,7.9754,0.1726,0.11,0.0,0.3432,0.0,0.0,0,2.19,236.092
head_on,path,1,success,1,0,0,26.85,7.7925,0.1347,0.1,0.5,0.3456,0.0,0.0,0,19.108,28.104
head_on,amoeba,1,success,1,0,0,25.1,8.3469,0.1905,0.1472,1.2,0.3411,0.4701195219123506,0.28286852589641437,7,29.314,17.125
head_on,vanilla,2,success,1,0,0,20.45,6.6009,1.0862,0.1138,0.0,0.3459,0.0,0.0,0,1.697,240.954
head_on,path,2,success,1,0,0,26.95,7.8564,0.1601,0.1,0.5,0.3485,0.0,0.0,0,20.116,26.794
head_on,amoeba,2,success,1,0,0,26.3,8.4878,0.2331,0.1272,2.45,0.3398,0.46387832699619774,0.21482889733840305,6,33.603,15.653
head_on,vanilla,3,success,1,0,0,20.3,6.6273,1.0838,0.107,0.0,0.3482,0.0,0.0,0,1.696,239.326
head_on,path,3,success,1,0,0,28.5,8.0595,0.1323,0.1,0.8,0.347,0.0,0.0,0,22.664,25.15
head_on,amoeba,3,success,1,0,0,24.85,8.3315,0.1877,0.143,1.55,0.3438,0.45472837022132795,0.19114688128772636,6,31.929,15.566
head_on,vanilla,4,success,1,0,0,20.15,6.6133,1.0892,0.11,0.0,0.3466,0.0,0.0,0,1.931,208.654
head_on,path,4,success,1,0,0,25.8,8.0709,0.1252,0.1,0.1,0.3439,0.0,0.0,0,20.665,24.969
head_on,amoeba,4,success,1,0,0,24.75,8.4007,0.1869,0.1,0.85,0.3495,0.45252525252525255,0.26666666666666666,5,31.23,15.85
