scenario,config,world,seed,samples,horizon,robot_model,result,success,time_s,path_len_m,min_clear_m,stall_s,goal_progress_m,final_goal_distance_m,mean_path_error_m,max_path_error_m,wall_time_s,controller_hz,mode_switches,omega_sign_flips,branch_selection_fraction,mean_ess,min_ess
static,vanilla,42,0,256,56,ideal,timeout,0,15.0,5.33,1.41,0.0,5.3231,3.6769,0.0297,0.0623,0.635,472.208,0,0,0.0,nan,nan
static,path_mppi,42,0,256,56,ideal,timeout,0,15.0,6.61,1.01,0.05,6.6046,2.3954,0.0157,0.0289,12.584,23.84,0,46,0.0,54.06225061402447,12.783103735456741
static,amoeba,42,0,256,56,ideal,timeout,0,15.0,6.61,1.01,0.05,6.6046,2.3954,0.0157,0.0289,16.988,17.66,0,46,0.0,54.062250614024755,12.783103735456349
static,vanilla,48,0,256,56,ideal,timeout,0,15.0,4.23,0.112,0.0,3.8217,5.1783,0.5776,1.3186,0.615,487.884,0,0,0.0,nan,nan
static,path_mppi,48,0,256,56,ideal,timeout,0,15.0,6.4,0.1,0.05,6.1395,2.8605,0.0482,0.1958,12.493,24.013,0,35,0.0,29.80192766320191,1.0072984182456046
static,amoeba,48,0,256,56,ideal,timeout,0,15.0,6.4,0.1,0.05,6.1395,2.8605,0.0482,0.1958,17.845,16.812,0,35,0.0,29.801927663201877,1.0072984182456088
dynamic,vanilla,42,0,256,56,ideal,timeout,0,15.0,5.22,0.152,0.0,4.9349,4.0651,0.147,0.2656,1.693,177.187,0,0,0.0,nan,nan
dynamic,path_mppi,42,0,256,56,ideal,timeout,0,15.0,6.51,0.23,0.05,6.0835,2.9165,0.1184,0.3752,18.251,16.438,0,26,0.0,40.62469636471815,1.0292355894325975
dynamic,amoeba,42,0,256,56,ideal,timeout,0,15.0,6.51,0.224,0.05,6.1423,2.8577,0.1022,0.3124,23.21,12.926,2,28,0.04666666666666667,18.80483315890715,1.0000001723191674
dynamic,vanilla,48,0,256,56,ideal,timeout,0,15.0,4.19,0.153,1.6,3.8259,5.1741,0.4487,0.714,2.097,143.067,0,0,0.0,nan,nan
dynamic,path_mppi,48,0,256,56,ideal,timeout,0,15.0,6.46,0.091,0.05,4.6737,4.3263,0.3192,1.0132,15.987,18.766,0,16,0.0,20.53651074414933,1.028544064331295
dynamic,amoeba,48,0,256,56,ideal,timeout,0,15.0,4.87,0.26,1.5,3.5041,5.4959,0.43,1.0848,22.385,13.402,10,21,0.6833333333333333,10.984154599461325,1.0
